0	 0.603874 	 -1.#IND 	 -1.#IND 
100	 0.363495 	 38.2061 	 37.2385 
200	 0.262776 	 19.1357 	 22.113 
300	 0.24611 	 20.6362 	 23.4374 
400	 0.238429 	 18.9559 	 21.3744 
500	 0.230717 	 17.8765 	 18.1545 
600	 0.200481 	 17.0391 	 17.8346 
700	 0.15669 	 14.9567 	 16.0917 
800	 0.206013 	 13.9557 	 13.7073 
900	 0.153682 	 11.1375 	 11.3673 
1000	 0.151612 	 17.1286 	 16.6244 
1100	 0.136764 	 13.443 	 13.7184 
1200	 0.144338 	 11.8547 	 12.2059 
1300	 0.138922 	 12.1032 	 12.6383 
1400	 0.160818 	 11.2693 	 11.6656 
1500	 0.135511 	 9.81955 	 8.93398 
1600	 0.129651 	 10.7546 	 11.8017 
1700	 0.127998 	 9.94415 	 10.11 
1800	 0.132888 	 10.5889 	 10.3541 
1900	 0.103751 	 10.9477 	 11.7925 
2000	 0.118776 	 11.3462 	 12.813 
2100	 0.127251 	 11.3436 	 12.1283 
2200	 0.162105 	 11.0042 	 10.68 
2300	 0.14718 	 12.1863 	 11.0858 
2400	 0.107773 	 8.44643 	 7.40758 
2500	 0.119644 	 7.89011 	 7.41195 
2600	 0.135138 	 8.35427 	 7.49283 
2700	 0.123926 	 8.63517 	 8.00316 
2800	 0.137795 	 9.82892 	 10.4818 
2900	 0.108712 	 9.6451 	 9.49637 
3000	 0.105162 	 7.98135 	 8.27121 
3100	 0.115822 	 7.98936 	 6.946 
3200	 0.10452 	 9.96716 	 9.4776 
3300	 0.104671 	 9.30867 	 9.03404 
3400	 0.0925318 	 7.84595 	 8.28495 
3500	 0.0818667 	 10.1002 	 9.81305 
3600	 0.108443 	 8.51244 	 6.74305 
3700	 0.102623 	 10.0063 	 9.8436 
3800	 0.151176 	 8.37815 	 8.38349 
3900	 0.104358 	 7.3496 	 6.9345 
4000	 0.148608 	 9.00972 	 9.66401 
4100	 0.112749 	 8.88336 	 8.9833 
4200	 0.114228 	 9.4245 	 8.93248 
4300	 0.0907162 	 9.14085 	 7.79262 
4400	 0.0927862 	 9.11199 	 8.62827 
4500	 0.107161 	 8.70931 	 7.59394 
4600	 0.112562 	 8.86011 	 10.0979 
4700	 0.0944488 	 7.20069 	 7.32479 
4800	 0.167319 	 8.07759 	 7.98907 
4900	 0.0988759 	 6.78075 	 7.64517 
5000	 0.115617 	 8.21844 	 7.23734 
5100	 0.117051 	 8.55657 	 10.2928 
5200	 0.133235 	 10.1782 	 11.2723 
5300	 0.120068 	 7.15176 	 6.81781 
5400	 0.104265 	 8.10729 	 7.61815 
5500	 0.0910109 	 7.44258 	 6.02636 
5600	 0.0849197 	 5.73877 	 6.45023 
