0	 0.619389 	 -1.#IND 	 -1.#IND 
100	 0.467879 	 -1.#IND 	 -1.#IND 
200	 0.383052 	 31.3348 	 41.3199 
300	 0.366777 	 20.9568 	 28.8884 
400	 0.352539 	 24.5942 	 35.5932 
500	 0.374528 	 35.8861 	 49.6459 
600	 0.304539 	 22.4514 	 29.5363 
700	 0.295657 	 25.1488 	 31.5758 
800	 0.265315 	 28.3419 	 35.6079 
900	 0.250957 	 20.3542 	 26.7129 
1000	 0.259639 	 26.7948 	 35.9605 
1100	 0.213055 	 25.1137 	 30.9468 
1200	 0.235223 	 17.8878 	 18.7325 
1300	 0.214353 	 20.7437 	 26.4995 
1400	 0.231241 	 20.7801 	 27.1662 
1500	 0.201821 	 17.7535 	 23.9831 
1600	 0.203807 	 21.1706 	 26.1332 
1700	 0.196801 	 19.4177 	 22.362 
1800	 0.189786 	 21.3929 	 20.8059 
1900	 0.16925 	 21.6084 	 29.0943 
2000	 0.183555 	 21.1717 	 24.5667 
2100	 0.207354 	 23.7517 	 29.8687 
2200	 0.219978 	 19.7334 	 20.1816 
2300	 0.218395 	 24.3574 	 24.4864 
2400	 0.161635 	 20.526 	 27.351 
2500	 0.203981 	 21.8713 	 25.4251 
2600	 0.180494 	 19.8632 	 20.4464 
2700	 0.170289 	 14.9469 	 17.4103 
2800	 0.192534 	 19.135 	 21.964 
2900	 0.15652 	 17.5573 	 21.3938 
3000	 0.169024 	 16.1908 	 18.8977 
3100	 0.17001 	 15.7959 	 19.0732 
3200	 0.156268 	 19.8652 	 23.0888 
3300	 0.147629 	 18.1955 	 21.272 
3400	 0.145573 	 20.1906 	 26.6058 
3500	 0.130887 	 17.5121 	 19.1479 
3600	 0.160228 	 15.5452 	 17.572 
3700	 0.178778 	 18.8739 	 21.6564 
3800	 0.205127 	 17.7653 	 19.3041 
3900	 0.153715 	 15.6078 	 17.7051 
4000	 0.162537 	 17.3219 	 22.5515 
4100	 0.185722 	 15.8732 	 19.1044 
4200	 0.178067 	 16.9286 	 17.1593 
4300	 0.144565 	 17.5274 	 19.8243 
4400	 0.134818 	 18.2817 	 23.2543 
4500	 0.168461 	 17.8641 	 19.7086 
4600	 0.168282 	 18.6941 	 23.8561 
4700	 0.131912 	 15.2985 	 15.7939 
4800	 0.197812 	 17.2666 	 21.961 
4900	 0.133948 	 16.0175 	 19.7234 
5000	 0.153299 	 16.4735 	 20.2294 
5100	 0.172477 	 22.8049 	 28.0451 
5200	 0.177695 	 20.259 	 25.9548 
5300	 0.175864 	 14.5955 	 16.2604 
5400	 0.13767 	 15.111 	 15.9728 
5500	 0.160929 	 14.6883 	 16.4792 
5600	 0.131237 	 12.9746 	 17.3134 
5700	 0.129299 	 17.2035 	 18.2869 
5800	 0.12915 	 15.0463 	 14.7414 
5900	 0.128781 	 17.1475 	 19.813 
6000	 0.139638 	 17.8214 	 22.3754 
6100	 0.143966 	 16.9772 	 21.2696 
6200	 0.146018 	 16.6234 	 21.1274 
6300	 0.152129 	 13.7323 	 13.9934 
6400	 0.144667 	 16.3686 	 19.5395 
6500	 0.163501 	 16.5916 	 20.5838 
6600	 0.154033 	 16.7242 	 18.1607 
6700	 0.116922 	 15.2754 	 17.3678 
6800	 0.178309 	 15.8347 	 15.855 
6900	 0.115908 	 14.449 	 16.2412 
7000	 0.12452 	 14.7412 	 16.5554 
7100	 0.135912 	 18.3325 	 24.0762 
7200	 0.12619 	 18.2537 	 22.6492 
7300	 0.135207 	 12.2945 	 14.4252 
7400	 0.165771 	 14.7658 	 17.6071 
