0	 0.619807 	 -1.#IND 	 -1.#IND 
100	 0.386797 	 26.8079 	 32.8829 
200	 0.272673 	 28.9512 	 31.7537 
300	 0.239093 	 18.2152 	 20.415 
400	 0.244991 	 16.4108 	 14.8751 
500	 0.204424 	 17.39 	 15.1978 
600	 0.192047 	 14.6277 	 15.5383 
700	 0.1407 	 15.1075 	 11.4358 
800	 0.198716 	 15.3941 	 13.7012 
900	 0.149109 	 11.7292 	 11.3598 
1000	 0.15375 	 12.7174 	 13.8025 
1100	 0.134494 	 14.2183 	 13.9591 
1200	 0.142289 	 12.5912 	 12.4471 
1300	 0.14212 	 12.6811 	 11.0593 
1400	 0.161848 	 12.8728 	 12.0925 
1500	 0.127981 	 10.3563 	 7.67074 
1600	 0.119775 	 11.0478 	 10.6898 
1700	 0.129865 	 10.2161 	 9.06657 
1800	 0.122174 	 11.7106 	 9.48158 
1900	 0.102985 	 9.64147 	 10.7667 
2000	 0.112966 	 11.8476 	 10.4303 
2100	 0.119757 	 10.7608 	 10.4769 
2200	 0.151544 	 10.1208 	 9.96764 
2300	 0.150402 	 12.8507 	 10.5723 
2400	 0.0962099 	 8.9185 	 7.93757 
2500	 0.12304 	 9.23532 	 8.29326 
2600	 0.127638 	 9.73662 	 8.78541 
2700	 0.131466 	 7.77442 	 6.62524 
2800	 0.139427 	 9.45729 	 7.91795 
2900	 0.104503 	 9.54898 	 10.2865 
3000	 0.11435 	 9.32889 	 8.80355 
3100	 0.116768 	 8.53878 	 8.94933 
3200	 0.09401 	 9.39924 	 8.10423 
3300	 0.105971 	 9.92005 	 7.75401 
3400	 0.0829638 	 8.58098 	 8.93014 
3500	 0.0716465 	 9.14755 	 8.47696 
3600	 0.116778 	 8.5459 	 7.93134 
3700	 0.102267 	 9.42865 	 9.60219 
3800	 0.145088 	 8.23304 	 9.0059 
3900	 0.0964399 	 8.02234 	 7.03239 
4000	 0.13504 	 9.93604 	 11.3925 
4100	 0.128872 	 8.78661 	 7.90642 
4200	 0.119112 	 7.86712 	 6.08581 
4300	 0.08764 	 7.03462 	 6.64497 
4400	 0.0949004 	 8.21248 	 6.819 
4500	 0.10499 	 8.79354 	 8.80598 
4600	 0.115 	 8.22793 	 8.12208 
4700	 0.106774 	 6.77406 	 5.7833 
4800	 0.135587 	 6.68972 	 6.01352 
4900	 0.0787269 	 7.43842 	 7.04498 
5000	 0.113658 	 8.69665 	 8.29373 
5100	 0.108593 	 8.53825 	 8.98484 
5200	 0.122802 	 7.73732 	 7.62878 
5300	 0.134207 	 6.51142 	 6.84732 
5400	 0.105893 	 7.6064 	 7.22916 
5500	 0.0973544 	 7.60868 	 6.46567 
5600	 0.0934703 	 5.6837 	 5.43366 
5700	 0.0806334 	 6.62254 	 6.1365 
5800	 0.0869692 	 5.77015 	 4.89037 
5900	 0.0880143 	 6.51188 	 5.64012 
6000	 0.0667467 	 8.85186 	 8.84459 
6100	 0.11746 	 5.93168 	 5.80644 
6200	 0.101331 	 6.32445 	 7.31046 
6300	 0.101638 	 7.07675 	 6.70047 
6400	 0.0970038 	 8.50475 	 6.13411 
6500	 0.10408 	 7.3954 	 7.53746 
6600	 0.10116 	 6.42003 	 6.98568 
6700	 0.109114 	 6.80021 	 6.69705 
6800	 0.114098 	 6.99206 	 5.74886 
6900	 0.0634759 	 6.33555 	 6.26683 
7000	 0.0827755 	 6.78825 	 6.37479 
7100	 0.0762068 	 7.24703 	 8.23729 
7200	 0.0721229 	 7.15144 	 7.20988 
7300	 0.0986247 	 6.52256 	 6.37322 
7400	 0.130928 	 7.17772 	 7.61937 
7500	 0.083843 	 7.59776 	 6.65336 
7600	 0.0795287 	 6.62851 	 7.29276 
7700	 0.120505 	 6.08755 	 5.65152 
7800	 0.0944347 	 8.15789 	 7.99427 
7900	 0.0901255 	 6.37916 	 5.63984 
8000	 0.112895 	 6.74308 	 6.96096 
8100	 0.0940111 	 6.14614 	 6.75175 
8200	 0.109634 	 6.83595 	 7.2101 
8300	 0.0750555 	 6.21772 	 5.65359 
8400	 0.0893221 	 5.76722 	 5.133 
8500	 0.0712195 	 6.34884 	 5.77756 
8600	 0.0990243 	 6.48443 	 5.92984 
8700	 0.0643873 	 6.54216 	 6.84563 
8800	 0.0909014 	 4.45312 	 3.84347 
8900	 0.0986812 	 5.84437 	 5.3641 
9000	 0.0613653 	 6.36444 	 6.27357 
9100	 0.0980923 	 5.95675 	 5.26749 
9200	 0.0771141 	 5.21947 	 4.4221 
9300	 0.0952503 	 6.3184 	 4.75624 
9400	 0.112478 	 6.63901 	 5.75215 
9500	 0.0944164 	 6.09679 	 6.23957 
9600	 0.0910512 	 6.20378 	 5.8622 
9700	 0.0935962 	 5.75923 	 5.44528 
9800	 0.0883268 	 5.30741 	 5.92647 
9900	 0.102612 	 5.59472 	 5.21709 
10000	 0.0684699 	 6.45313 	 5.83186 
10100	 0.110527 	 6.71252 	 6.17017 
10200	 0.0958877 	 6.83839 	 6.53617 
10300	 0.0955954 	 6.31258 	 6.32187 
10400	 0.0590033 	 5.58324 	 6.00271 
10500	 0.0595786 	 5.98481 	 5.91822 
10600	 0.0895122 	 7.65048 	 7.79809 
10700	 0.0693879 	 5.38835 	 5.1623 
10800	 0.066935 	 6.72412 	 6.23712 
10900	 0.103064 	 5.88608 	 5.90806 
11000	 0.0961901 	 5.18789 	 4.53829 
11100	 0.0923927 	 5.40439 	 5.85932 
11200	 0.0694473 	 6.22856 	 5.88329 
11300	 0.0828889 	 6.44674 	 6.63002 
11400	 0.0733601 	 5.43782 	 5.66352 
11500	 0.117689 	 5.19343 	 5.73555 
11600	 0.0723738 	 6.31027 	 6.87479 
11700	 0.087434 	 7.34423 	 6.01921 
11800	 0.0668915 	 5.56369 	 6.01146 
11900	 0.125055 	 7.23762 	 7.16906 
12000	 0.0798055 	 6.43235 	 5.74985 
12100	 0.0956668 	 7.02278 	 7.3087 
12200	 0.0655482 	 6.1116 	 6.0774 
12300	 0.0654624 	 5.79192 	 4.95798 
12400	 0.0991921 	 5.75684 	 6.50589 
12500	 0.0514981 	 4.6629 	 4.33113 
12600	 0.0788132 	 4.92379 	 4.8971 
12700	 0.0858918 	 5.62654 	 5.29033 
12800	 0.0835738 	 6.94579 	 6.62147 
12900	 0.0890621 	 5.7459 	 5.68189 
13000	 0.0699912 	 6.19476 	 6.24068 
13100	 0.0821901 	 5.18404 	 5.2269 
13200	 0.113388 	 5.84187 	 6.11576 
13300	 0.0978411 	 5.13031 	 5.11463 
13400	 0.0756202 	 6.18272 	 6.27046 
13500	 0.0929482 	 5.46265 	 5.40921 
13600	 0.0666947 	 5.51222 	 5.48011 
13700	 0.105747 	 5.75656 	 5.75807 
13800	 0.0865404 	 5.37962 	 6.14893 
13900	 0.0737663 	 5.16043 	 5.66327 
14000	 0.062201 	 6.49979 	 6.73962 
14100	 0.0680163 	 4.9257 	 4.56198 
14200	 0.0611901 	 5.75949 	 5.96218 
14300	 0.0653738 	 6.03241 	 5.9874 
14400	 0.0609398 	 5.88919 	 5.98446 
14500	 0.0815169 	 5.01833 	 4.31423 
14600	 0.0504754 	 4.95548 	 5.2197 
14700	 0.0847233 	 5.84324 	 4.75897 
14800	 0.0714775 	 6.44037 	 7.30493 
14900	 0.107735 	 5.9903 	 6.70476 
15000	 0.0856273 	 5.63707 	 5.49428 
15100	 0.060627 	 5.94515 	 6.72933 
15200	 0.0813249 	 5.7277 	 5.10815 
15300	 0.0723938 	 5.60926 	 5.24794 
15400	 0.0761445 	 6.32925 	 5.24772 
15500	 0.0806728 	 4.11306 	 4.59351 
15600	 0.0628406 	 5.59777 	 5.63031 
15700	 0.100079 	 5.54846 	 5.60709 
15800	 0.0813834 	 5.41086 	 5.14186 
15900	 0.0648821 	 5.94464 	 5.95815 
16000	 0.0708824 	 5.54215 	 5.70114 
16100	 0.0849841 	 5.29922 	 5.42021 
16200	 0.0886118 	 5.26126 	 5.43918 
16300	 0.0472476 	 5.29341 	 6.26888 
16400	 0.0526006 	 6.14417 	 5.60108 
16500	 0.0630749 	 6.97632 	 6.99481 
16600	 0.0573281 	 5.05007 	 4.72906 
16700	 0.0561673 	 4.78971 	 5.49501 
16800	 0.0754332 	 5.45513 	 5.48789 
16900	 0.0577916 	 5.78643 	 5.30857 
17000	 0.0746234 	 5.1994 	 5.65748 
17100	 0.0439378 	 5.14299 	 5.26137 
17200	 0.0995107 	 5.37398 	 4.92203 
17300	 0.0774014 	 4.69406 	 4.76569 
17400	 0.0756755 	 5.09752 	 4.97233 
17500	 0.096471 	 5.56465 	 5.29161 
17600	 0.0832129 	 4.9484 	 4.25833 
17700	 0.0681312 	 5.15956 	 5.01715 
17800	 0.0724736 	 5.54003 	 5.47205 
17900	 0.0609981 	 4.83451 	 4.27666 
18000	 0.0791503 	 5.44928 	 4.82695 
18100	 0.0689577 	 5.02119 	 5.10824 
18200	 0.0690084 	 5.44161 	 5.41982 
18300	 0.0945195 	 5.64987 	 5.50275 
18400	 0.0753023 	 5.76191 	 5.71923 
18500	 0.0835911 	 4.65245 	 4.24246 
18600	 0.0598764 	 4.73848 	 4.87555 
18700	 0.106285 	 4.7657 	 4.79981 
18800	 0.0454765 	 5.03638 	 4.83804 
18900	 0.0763469 	 5.48572 	 5.90965 
19000	 0.050715 	 4.72315 	 5.28386 
19100	 0.0789372 	 5.41292 	 5.14159 
19200	 0.0583782 	 5.49364 	 4.95192 
19300	 0.113247 	 4.96043 	 5.30346 
19400	 0.0783733 	 6.52253 	 6.88166 
19500	 0.0738241 	 4.74402 	 3.63802 
19600	 0.0737866 	 5.51854 	 5.47292 
19700	 0.0702036 	 4.474 	 4.21273 
19800	 0.0621004 	 4.50243 	 3.82421 
19900	 0.0767377 	 5.21051 	 4.96365 
20000	 0.0668072 	 5.22626 	 5.40374 
20100	 0.110172 	 4.52142 	 3.86831 
20200	 0.0719264 	 3.83378 	 3.92396 
20300	 0.0528244 	 5.48026 	 5.50222 
20400	 0.0744173 	 4.6913 	 4.86943 
20500	 0.117852 	 5.86188 	 5.58308 
20600	 0.066169 	 4.43844 	 4.28947 
20700	 0.0569369 	 4.63323 	 4.80853 
20800	 0.0799097 	 5.71906 	 6.03755 
20900	 0.0755845 	 5.10503 	 4.89229 
21000	 0.103509 	 4.27015 	 4.24151 
21100	 0.05317 	 5.27848 	 5.51336 
21200	 0.0568083 	 5.40632 	 5.97177 
21300	 0.0582021 	 4.25578 	 4.48819 
21400	 0.0793759 	 4.49477 	 4.66489 
21500	 0.08326 	 4.75441 	 4.52065 
21600	 0.0551952 	 5.25862 	 5.05236 
21700	 0.0754798 	 5.0034 	 4.9416 
21800	 0.0553547 	 5.33937 	 5.93724 
21900	 0.0494355 	 5.15334 	 5.43916 
22000	 0.0840414 	 5.08172 	 5.19022 
22100	 0.0499815 	 4.9212 	 5.22073 
22200	 0.0556354 	 5.94585 	 6.22781 
22300	 0.0551298 	 5.57955 	 6.06977 
22400	 0.0635828 	 5.41673 	 4.87527 
22500	 0.0725961 	 5.18018 	 5.11465 
22600	 0.0449182 	 5.52046 	 5.73019 
22700	 0.0632722 	 4.64389 	 5.18221 
22800	 0.0701547 	 4.58582 	 4.69163 
22900	 0.0843637 	 4.35333 	 4.76003 
23000	 0.0822939 	 5.82656 	 5.38542 
23100	 0.0695974 	 4.61495 	 4.50336 
23200	 0.0424335 	 4.88109 	 4.96891 
23300	 0.0858322 	 6.582 	 6.39679 
23400	 0.0966404 	 4.59195 	 4.41457 
23500	 0.0718578 	 5.03573 	 4.7658 
23600	 0.0728306 	 4.19885 	 4.4071 
23700	 0.0363729 	 4.70032 	 4.5337 
23800	 0.0607763 	 4.84003 	 4.61914 
23900	 0.0721349 	 4.82051 	 5.00136 
24000	 0.0583112 	 4.75144 	 4.50493 
24100	 0.0732186 	 5.13786 	 5.21498 
24200	 0.0525836 	 5.00989 	 5.42933 
24300	 0.0762048 	 4.45775 	 4.30746 
24400	 0.0567688 	 4.67066 	 4.63282 
24500	 0.080018 	 4.05892 	 4.06125 
24600	 0.0722141 	 5.88454 	 5.87844 
24700	 0.0475876 	 4.74105 	 5.06363 
24800	 0.0630903 	 5.05657 	 5.30838 
24900	 0.0495891 	 4.78233 	 4.48309 
25000	 0.0817948 	 5.19145 	 5.75657 
25100	 0.0443078 	 4.69062 	 4.64511 
25200	 0.0505233 	 4.39163 	 4.30423 
25300	 0.059059 	 4.98741 	 4.35817 
25400	 0.0547566 	 5.37703 	 5.44121 
25500	 0.087156 	 4.83517 	 5.51359 
25600	 0.0604653 	 4.9985 	 4.41729 
25700	 0.0608103 	 4.45262 	 3.93394 
25800	 0.0684687 	 5.00096 	 5.24863 
25900	 0.0855983 	 5.37402 	 5.1686 
26000	 0.0650153 	 5.04705 	 4.73431 
26100	 0.0607402 	 3.99503 	 4.15246 
26200	 0.0565736 	 4.4193 	 4.0428 
26300	 0.0664887 	 4.29719 	 4.79138 
26400	 0.0501679 	 4.66822 	 4.3119 
26500	 0.0595688 	 4.96413 	 4.69579 
26600	 0.0826495 	 3.74122 	 3.75989 
26700	 0.0787308 	 4.9176 	 4.56101 
26800	 0.0794526 	 4.97586 	 4.91068 
26900	 0.0446826 	 4.44571 	 4.31316 
27000	 0.0766819 	 4.39244 	 4.44604 
27100	 0.0683254 	 4.47894 	 4.10816 
27200	 0.0788523 	 4.5014 	 4.45477 
27300	 0.0462335 	 4.62529 	 5.07752 
27400	 0.0666624 	 5.0556 	 5.17796 
27500	 0.0561768 	 4.84146 	 4.60452 
27600	 0.0581636 	 4.04411 	 4.63167 
27700	 0.0813823 	 4.8586 	 5.75238 
27800	 0.056858 	 5.23219 	 5.01823 
27900	 0.0581645 	 4.85619 	 5.2872 
28000	 0.0733765 	 6.07429 	 5.8027 
28100	 0.076325 	 5.95666 	 6.36193 
28200	 0.0514078 	 5.68727 	 5.49851 
28300	 0.0864668 	 4.49749 	 4.06822 
28400	 0.0503953 	 4.15659 	 3.93517 
28500	 0.0556739 	 4.55787 	 4.75436 
28600	 0.0391865 	 4.16093 	 3.62324 
28700	 0.0516636 	 4.82997 	 5.62941 
28800	 0.0830625 	 4.67375 	 4.19697 
28900	 0.0620899 	 4.6863 	 5.07267 
29000	 0.0501892 	 4.25431 	 4.13331 
29100	 0.0405646 	 4.54708 	 4.75833 
29200	 0.0581415 	 4.68759 	 4.45899 
29300	 0.0757324 	 4.97687 	 5.01435 
29400	 0.0466669 	 4.75381 	 4.52745 
29500	 0.0685566 	 4.24548 	 4.41268 
29600	 0.0801 	 5.03263 	 4.44306 
29700	 0.0485813 	 4.96115 	 5.64249 
29800	 0.065199 	 4.80667 	 5.13083 
29900	 0.0662583 	 4.78042 	 4.27003 
30000	 0.0578135 	 4.47396 	 4.91981 
30100	 0.0496991 	 4.45375 	 3.89391 
30200	 0.0423492 	 5.07904 	 5.56265 
30300	 0.0488761 	 5.1032 	 5.19361 
30400	 0.0459716 	 4.54037 	 4.0584 
30500	 0.0508883 	 4.9311 	 5.45687 
30600	 0.074771 	 4.40135 	 4.33383 
30700	 0.0672936 	 4.37465 	 4.37156 
30800	 0.0524622 	 5.46537 	 5.70377 
30900	 0.0713462 	 4.76852 	 5.02691 
31000	 0.0489186 	 4.00672 	 3.98098 
31100	 0.048658 	 4.64977 	 4.9335 
31200	 0.0398333 	 4.84519 	 5.24692 
31300	 0.0405537 	 4.32401 	 4.78398 
31400	 0.0650502 	 5.23187 	 5.37007 
31500	 0.0621383 	 5.06967 	 6.06374 
31600	 0.0719493 	 5.77841 	 5.60739 
31700	 0.0668674 	 5.42824 	 5.9882 
31800	 0.065202 	 5.05099 	 5.13158 
31900	 0.0464967 	 4.62552 	 4.43512 
32000	 0.0553674 	 3.85031 	 4.32773 
32100	 0.0756808 	 5.0988 	 5.48778 
32200	 0.0561859 	 4.2707 	 4.33715 
32300	 0.0600354 	 4.29054 	 3.91073 
32400	 0.0399366 	 3.87173 	 3.90199 
32500	 0.0738812 	 4.6302 	 4.67282 
32600	 0.0691062 	 4.94923 	 6.17184 
32700	 0.0780616 	 4.75798 	 4.84014 
32800	 0.0473242 	 5.35949 	 5.31203 
32900	 0.0661172 	 5.29259 	 5.78865 
33000	 0.0807284 	 4.40903 	 4.90286 
33100	 0.0487298 	 4.78632 	 6.37047 
33200	 0.0563508 	 4.4379 	 5.2555 
33300	 0.0496652 	 4.6979 	 3.96253 
33400	 0.0518545 	 4.27375 	 4.78469 
33500	 0.0558289 	 4.71747 	 4.1926 
33600	 0.0648231 	 4.83739 	 5.44013 
33700	 0.0628026 	 4.94604 	 4.99893 
33800	 0.0748382 	 4.35257 	 5.07481 
33900	 0.0621422 	 4.34791 	 4.77621 
34000	 0.0590338 	 5.11286 	 6.18724 
34100	 0.071029 	 4.23887 	 4.95368 
34200	 0.0634053 	 5.11013 	 5.34182 
34300	 0.0518587 	 4.33277 	 4.73741 
34400	 0.0652717 	 4.67842 	 5.4475 
34500	 0.0354819 	 3.46959 	 3.50862 
34600	 0.0425419 	 4.99915 	 4.82933 
34700	 0.0674566 	 4.12531 	 4.0567 
34800	 0.0617741 	 4.7732 	 4.6912 
34900	 0.0617654 	 4.59582 	 4.76921 
35000	 0.0828515 	 5.06643 	 4.71778 
35100	 0.0429459 	 4.73942 	 5.04631 
35200	 0.0389441 	 3.30597 	 3.60417 
35300	 0.0772067 	 4.00615 	 3.93936 
35400	 0.0724124 	 4.67575 	 4.54132 
35500	 0.049001 	 4.18719 	 4.04122 
35600	 0.0535399 	 4.08688 	 4.15514 
35700	 0.0562702 	 4.44189 	 5.13318 
35800	 0.034862 	 5.53851 	 5.81035 
35900	 0.0522936 	 4.66462 	 4.92711 
36000	 0.049766 	 5.44429 	 7.03864 
36100	 0.0408528 	 4.86653 	 4.54865 
36200	 0.0416289 	 4.34075 	 4.04407 
36300	 0.0460171 	 4.43481 	 4.70686 
36400	 0.0595813 	 4.82236 	 5.34472 
36500	 0.0545687 	 4.92251 	 4.62032 
36600	 0.0480384 	 5.55488 	 5.40021 
36700	 0.0614311 	 5.16728 	 4.58552 
36800	 0.0449921 	 4.01865 	 4.17113 
36900	 0.0349986 	 4.94377 	 5.0974 
37000	 0.0506698 	 4.51924 	 4.95352 
37100	 0.0960918 	 4.29141 	 4.46045 
37200	 0.0690097 	 4.87864 	 4.96124 
37300	 0.0593186 	 4.71265 	 5.33025 
37400	 0.0382243 	 4.01499 	 3.9574 
37500	 0.0591275 	 4.8782 	 4.88648 
37600	 0.0435935 	 3.83208 	 3.61529 
37700	 0.0557347 	 4.24516 	 4.37475 
37800	 0.0521264 	 4.37428 	 5.03647 
37900	 0.0734139 	 4.414 	 4.43493 
38000	 0.0627137 	 5.04263 	 5.34958 
38100	 0.0532164 	 3.35075 	 3.15159 
38200	 0.0458339 	 4.47389 	 4.77444 
38300	 0.0502079 	 3.62206 	 3.56906 
38400	 0.0571683 	 4.68242 	 4.83789 
38500	 0.0650963 	 4.70066 	 5.15951 
38600	 0.0841897 	 4.8856 	 5.24837 
38700	 0.0519349 	 5.29019 	 5.83484 
