0	 0.638539 	 -1.#IND 	 -1.#IND 
100	 0.380958 	 33.5077 	 41.3752 
200	 0.26464 	 24.7856 	 25.5718 
300	 0.268318 	 19.6881 	 25.2282 
400	 0.253069 	 16.9707 	 17.313 
500	 0.223515 	 19.198 	 17.2443 
600	 0.195559 	 14.1393 	 14.8417 
700	 0.154715 	 14.1615 	 13.3963 
800	 0.213579 	 14.0407 	 15.3194 
900	 0.159027 	 10.8317 	 10.0681 
1000	 0.151808 	 12.2419 	 12.2633 
1100	 0.128981 	 13.3904 	 13.4963 
1200	 0.152126 	 12.9221 	 10.9849 
1300	 0.143266 	 11.9626 	 12.7391 
1400	 0.153872 	 12.736 	 13.0273 
1500	 0.13253 	 9.90742 	 8.77644 
1600	 0.137016 	 11.2551 	 10.0344 
1700	 0.134668 	 11.5514 	 11.7932 
1800	 0.131634 	 10.3382 	 9.14594 
1900	 0.105464 	 10.5039 	 11.7069 
2000	 0.108002 	 10.2906 	 10.1447 
2100	 0.127141 	 10.1879 	 11.3184 
2200	 0.164538 	 9.99295 	 11.9319 
2300	 0.163676 	 12.811 	 11.9741 
2400	 0.114989 	 9.37439 	 8.64808 
2500	 0.121928 	 10.0927 	 9.66958 
2600	 0.122644 	 8.19366 	 8.40078 
2700	 0.143915 	 9.74599 	 9.32778 
2800	 0.12799 	 10.5333 	 9.91272 
2900	 0.0997581 	 11.1569 	 11.8541 
3000	 0.109634 	 8.00433 	 9.11315 
3100	 0.106731 	 8.94915 	 8.69158 
3200	 0.0981417 	 8.07738 	 7.54355 
3300	 0.100479 	 10.0953 	 10.239 
3400	 0.0903179 	 8.71863 	 9.81508 
3500	 0.0683824 	 8.93538 	 9.20795 
3600	 0.118032 	 8.57086 	 7.71787 
3700	 0.110693 	 8.90688 	 8.8107 
3800	 0.148155 	 8.52326 	 9.40576 
3900	 0.0943442 	 8.03373 	 7.08287 
4000	 0.123882 	 9.02286 	 10.5735 
4100	 0.123497 	 9.07607 	 9.66896 
4200	 0.100147 	 8.25269 	 7.83623 
4300	 0.0808489 	 8.42238 	 8.82428 
4400	 0.0975863 	 8.74668 	 8.83097 
4500	 0.112889 	 9.71165 	 9.40705 
4600	 0.116772 	 8.77921 	 9.971 
4700	 0.096874 	 7.0929 	 7.44712 
4800	 0.140092 	 7.42159 	 6.98325 
4900	 0.0967915 	 6.82573 	 6.93555 
5000	 0.107285 	 8.44641 	 8.34419 
5100	 0.104024 	 8.62506 	 10.3508 
5200	 0.13102 	 8.61013 	 8.91214 
5300	 0.115489 	 7.58053 	 8.07488 
5400	 0.0915892 	 8.38733 	 7.85923 
5500	 0.107753 	 7.01806 	 6.79447 
5600	 0.084749 	 6.24439 	 7.02328 
5700	 0.086951 	 8.1481 	 7.24947 
5800	 0.0908937 	 6.8062 	 6.79543 
5900	 0.0932522 	 7.39534 	 7.52925 
6000	 0.0769836 	 8.88998 	 9.0203 
6100	 0.115959 	 6.87269 	 6.91043 
6200	 0.0879284 	 7.40068 	 7.69077 
6300	 0.11608 	 5.83124 	 5.60548 
6400	 0.0936711 	 7.20155 	 7.22499 
6500	 0.102424 	 7.29454 	 8.61186 
6600	 0.0977167 	 7.91412 	 9.74161 
6700	 0.0880165 	 7.44679 	 8.27736 
6800	 0.102798 	 6.44541 	 6.4055 
6900	 0.0656631 	 8.06803 	 8.21117 
7000	 0.0899572 	 7.16912 	 7.31505 
7100	 0.0782423 	 6.67466 	 6.8547 
7200	 0.0817413 	 7.33285 	 7.65546 
7300	 0.0866456 	 5.78028 	 6.02367 
7400	 0.137422 	 7.67052 	 7.28596 
7500	 0.0853864 	 7.00077 	 8.33694 
7600	 0.0729431 	 5.78361 	 7.20184 
7700	 0.0955046 	 6.81155 	 7.12146 
7800	 0.0897846 	 7.23686 	 7.01201 
7900	 0.0879356 	 7.74192 	 7.79824 
8000	 0.0998222 	 6.39534 	 6.34078 
8100	 0.0953987 	 7.70322 	 8.837 
8200	 0.104678 	 7.50651 	 7.75871 
8300	 0.0776891 	 6.65558 	 6.47066 
8400	 0.0815367 	 5.90796 	 6.43465 
8500	 0.0690149 	 6.83559 	 7.7365 
8600	 0.0887991 	 6.90935 	 7.11383 
8700	 0.0621708 	 7.10796 	 7.73794 
8800	 0.0984915 	 5.71126 	 5.73861 
8900	 0.0846185 	 6.60144 	 7.02943 
9000	 0.0732761 	 7.33557 	 6.86118 
9100	 0.083078 	 6.74956 	 7.45792 
9200	 0.0694301 	 6.17485 	 5.79051 
9300	 0.0779833 	 7.23446 	 8.30028 
9400	 0.116279 	 6.59617 	 6.11042 
9500	 0.0878693 	 6.40211 	 6.47247 
9600	 0.0972064 	 6.35568 	 7.30712 
9700	 0.0837161 	 6.24195 	 6.60958 
9800	 0.0810073 	 6.21664 	 7.0979 
9900	 0.0932914 	 6.48332 	 7.2237 
10000	 0.0784286 	 7.16927 	 7.39978 
10100	 0.107587 	 6.31046 	 7.36176 
10200	 0.0688908 	 7.41037 	 7.57609 
10300	 0.0869139 	 6.2032 	 7.25388 
10400	 0.0608811 	 6.14788 	 6.61148 
10500	 0.0682508 	 6.08245 	 5.87318 
10600	 0.0802481 	 6.83439 	 7.19776 
10700	 0.0714665 	 5.71424 	 6.38901 
10800	 0.0674221 	 6.8755 	 7.17052 
10900	 0.081658 	 5.84605 	 6.17132 
11000	 0.107634 	 6.4519 	 6.54985 
11100	 0.117777 	 5.73439 	 6.43028 
11200	 0.0786279 	 6.37813 	 6.02989 
11300	 0.0836645 	 6.08904 	 7.21969 
11400	 0.0750588 	 6.71518 	 7.21336 
11500	 0.103548 	 6.60716 	 7.01948 
11600	 0.0829693 	 7.11488 	 7.61434 
11700	 0.0852498 	 6.41818 	 6.54592 
11800	 0.0587992 	 6.6756 	 7.74096 
11900	 0.126119 	 6.5331 	 6.42454 
12000	 0.076833 	 7.17686 	 7.82596 
12100	 0.0975662 	 6.61293 	 8.00957 
12200	 0.0583684 	 6.1281 	 6.81022 
12300	 0.0664897 	 5.60263 	 6.42973 
12400	 0.0850503 	 5.93253 	 7.05148 
12500	 0.0506304 	 5.81315 	 6.42909 
12600	 0.0832027 	 6.56118 	 7.7094 
12700	 0.0885548 	 4.79934 	 5.31699 
12800	 0.0833595 	 6.86392 	 7.52143 
12900	 0.0757689 	 5.72688 	 5.88109 
13000	 0.0664035 	 5.25898 	 6.39816 
13100	 0.0773641 	 4.94497 	 5.29763 
13200	 0.105255 	 5.44131 	 5.37522 
13300	 0.0925702 	 6.27997 	 8.10427 
13400	 0.0649747 	 5.71089 	 6.60771 
13500	 0.0929387 	 6.59455 	 7.54218 
13600	 0.0572531 	 5.36141 	 5.97117 
13700	 0.099947 	 7.46748 	 8.6882 
13800	 0.0843707 	 6.53402 	 7.26454 
13900	 0.0732716 	 5.63436 	 5.84802 
14000	 0.0642437 	 6.77159 	 6.80659 
14100	 0.0558424 	 5.47033 	 5.49714 
14200	 0.0530072 	 5.48137 	 5.14792 
14300	 0.0645742 	 6.66052 	 7.58137 
14400	 0.0718263 	 6.02022 	 6.18164 
14500	 0.0698868 	 5.70627 	 5.57498 
14600	 0.057951 	 5.26039 	 6.35373 
14700	 0.086574 	 6.72583 	 6.22234 
14800	 0.0587803 	 7.14138 	 8.73139 
14900	 0.0907005 	 6.5943 	 7.95754 
15000	 0.0903629 	 5.16521 	 4.91643 
15100	 0.0574938 	 6.1647 	 6.48203 
15200	 0.0752111 	 5.81631 	 6.0587 
15300	 0.08092 	 5.70309 	 6.02257 
15400	 0.0620196 	 6.45086 	 7.72843 
15500	 0.0831137 	 4.62853 	 4.94001 
15600	 0.0602985 	 5.46221 	 6.06049 
15700	 0.0884511 	 5.74749 	 6.26209 
15800	 0.0773996 	 6.33815 	 6.88805 
15900	 0.0697311 	 6.16765 	 6.41108 
16000	 0.0614118 	 6.4736 	 6.82075 
16100	 0.0784183 	 7.08064 	 7.71774 
16200	 0.0819812 	 6.2862 	 6.99568 
16300	 0.0490416 	 7.19163 	 9.40151 
16400	 0.0621158 	 7.15397 	 6.59719 
16500	 0.0695217 	 6.48544 	 7.02861 
16600	 0.068177 	 5.00695 	 5.72289 
16700	 0.0520405 	 5.10591 	 5.00616 
16800	 0.0653395 	 5.62548 	 6.34307 
16900	 0.0632777 	 5.98321 	 6.31321 
17000	 0.0700924 	 5.57785 	 6.16715 
17100	 0.0490747 	 5.35268 	 5.53356 
17200	 0.0876673 	 5.07587 	 5.01284 
17300	 0.0620725 	 5.6832 	 6.33659 
17400	 0.0870701 	 5.971 	 6.71548 
17500	 0.09297 	 5.62202 	 5.58292 
17600	 0.0692242 	 5.16794 	 5.92723 
17700	 0.0740523 	 4.96243 	 5.34166 
17800	 0.0700713 	 5.63475 	 6.52235 
17900	 0.0501013 	 5.55541 	 5.79103 
18000	 0.0736632 	 5.39824 	 5.08658 
18100	 0.0556433 	 4.79738 	 5.53042 
18200	 0.057159 	 5.24123 	 5.5965 
18300	 0.095838 	 5.45527 	 5.66617 
18400	 0.0801952 	 4.82968 	 5.16977 
18500	 0.0841296 	 5.58875 	 5.95102 
18600	 0.0523009 	 5.55105 	 6.4954 
18700	 0.100508 	 6.10516 	 6.62266 
18800	 0.0623313 	 5.1658 	 5.6018 
18900	 0.0708416 	 5.19959 	 5.79503 
19000	 0.0494204 	 5.00082 	 6.28094 
19100	 0.0598874 	 5.21037 	 5.27482 
19200	 0.056315 	 5.67472 	 6.81902 
19300	 0.0948477 	 5.60926 	 6.54951 
19400	 0.0834852 	 6.16033 	 7.05465 
19500	 0.05414 	 4.59324 	 5.12627 
19600	 0.0605515 	 5.60671 	 5.32978 
19700	 0.0654874 	 4.95419 	 4.90464 
19800	 0.052604 	 4.95918 	 5.52219 
19900	 0.0693132 	 5.79942 	 5.62147 
20000	 0.0461838 	 6.4403 	 7.55138 
20100	 0.101876 	 4.77574 	 4.009 
20200	 0.0674504 	 4.63932 	 4.14284 
20300	 0.0472221 	 5.43736 	 6.04149 
20400	 0.0764586 	 4.90546 	 5.37895 
20500	 0.0948535 	 7.281 	 8.06344 
20600	 0.0595102 	 5.60364 	 5.93699 
20700	 0.0412724 	 5.08604 	 5.69203 
20800	 0.0600876 	 4.84731 	 4.97741 
20900	 0.0777812 	 5.08939 	 5.48565 
21000	 0.101255 	 5.26849 	 5.26394 
21100	 0.0474412 	 4.7731 	 5.38849 
21200	 0.0516738 	 5.17939 	 5.98202 
21300	 0.0327369 	 5.30676 	 5.808 
21400	 0.0723456 	 5.30659 	 5.71952 
21500	 0.0719557 	 5.84434 	 6.95772 
21600	 0.056644 	 4.61681 	 4.50387 
21700	 0.0798855 	 5.29461 	 6.06828 
21800	 0.0398114 	 4.7569 	 5.3497 
21900	 0.0471827 	 5.38566 	 5.78727 
22000	 0.103502 	 5.01937 	 5.62082 
22100	 0.0402367 	 4.19411 	 4.47708 
22200	 0.0547351 	 6.44807 	 7.17692 
22300	 0.0508258 	 6.14527 	 7.03318 
22400	 0.0530488 	 5.41839 	 5.43382 
22500	 0.0644654 	 6.34048 	 7.82476 
22600	 0.0432236 	 5.18024 	 5.91227 
22700	 0.0549768 	 4.95536 	 5.38291 
22800	 0.0519394 	 4.58589 	 4.7402 
22900	 0.076193 	 5.42108 	 5.39772 
23000	 0.07909 	 5.43985 	 6.42512 
23100	 0.0624814 	 4.8748 	 5.42381 
23200	 0.0482387 	 5.71383 	 5.95459 
23300	 0.0641748 	 6.045 	 5.84262 
23400	 0.0844453 	 4.585 	 4.8358 
23500	 0.0729318 	 5.29782 	 5.80788 
23600	 0.0605325 	 5.33083 	 5.79452 
23700	 0.0407683 	 4.78467 	 5.33693 
23800	 0.069227 	 5.43085 	 6.2884 
23900	 0.0595406 	 5.64913 	 6.15964 
24000	 0.0825406 	 5.5276 	 5.15963 
24100	 0.074841 	 4.85732 	 5.40455 
24200	 0.0519376 	 4.87201 	 4.66932 
24300	 0.0957704 	 4.66671 	 4.78416 
24400	 0.0412434 	 4.83012 	 4.95486 
24500	 0.0700569 	 5.34997 	 5.64114 
24600	 0.0703533 	 5.18416 	 5.19843 
24700	 0.045024 	 5.36964 	 6.72095 
24800	 0.056164 	 4.32103 	 5.25601 
24900	 0.0562986 	 5.44262 	 5.94956 
25000	 0.0722018 	 5.7524 	 6.53269 
25100	 0.0486079 	 4.93191 	 5.38134 
25200	 0.0456488 	 4.48039 	 5.46589 
25300	 0.0577654 	 4.92633 	 4.98006 
25400	 0.0529429 	 4.16137 	 4.15415 
25500	 0.0774365 	 5.79028 	 7.00605 
25600	 0.0558446 	 5.01848 	 5.42093 
25700	 0.0701658 	 5.47348 	 5.51093 
25800	 0.0649567 	 5.59853 	 6.26209 
25900	 0.0829697 	 4.8178 	 6.10035 
26000	 0.0675675 	 4.97895 	 4.76598 
26100	 0.0527025 	 4.38131 	 4.99995 
26200	 0.0449148 	 4.28029 	 4.12158 
26300	 0.0468239 	 3.97849 	 4.50257 
26400	 0.0456945 	 5.00157 	 5.63868 
26500	 0.0449445 	 5.06926 	 5.61561 
26600	 0.0828983 	 5.50938 	 6.09838 
26700	 0.0575428 	 5.12269 	 5.19254 
26800	 0.0602023 	 6.03917 	 7.35778 
26900	 0.0497817 	 5.17586 	 5.70241 
27000	 0.0783862 	 4.55547 	 5.59008 
27100	 0.0687478 	 4.89184 	 4.78078 
27200	 0.0738681 	 5.68467 	 6.5469 
27300	 0.0456298 	 4.50924 	 4.64225 
27400	 0.0798662 	 5.27864 	 5.28921 
27500	 0.0621025 	 4.89497 	 5.20036 
27600	 0.0403657 	 4.44758 	 4.25833 
27700	 0.063357 	 5.88327 	 7.11834 
27800	 0.0566315 	 5.54082 	 6.30944 
27900	 0.0528651 	 4.70651 	 4.6658 
28000	 0.0808952 	 6.34181 	 7.34293 
28100	 0.0580608 	 5.95089 	 6.99963 
28200	 0.048457 	 5.46198 	 5.98197 
28300	 0.0586808 	 4.61013 	 5.24483 
28400	 0.0584286 	 4.3025 	 3.90849 
28500	 0.0420228 	 4.90201 	 5.82394 
28600	 0.03528 	 4.33607 	 4.69967 
28700	 0.0513537 	 4.87995 	 4.85019 
28800	 0.0756629 	 5.31515 	 6.2208 
28900	 0.0614961 	 5.00235 	 5.56719 
29000	 0.0542028 	 4.50392 	 5.16049 
29100	 0.0405836 	 4.06563 	 4.33631 
29200	 0.0511578 	 5.36795 	 5.49228 
29300	 0.0694968 	 4.86607 	 5.19562 
29400	 0.0544563 	 5.71797 	 6.51729 
29500	 0.0607119 	 5.12884 	 5.70183 
29600	 0.0820057 	 5.80574 	 6.78878 
29700	 0.0558979 	 5.61833 	 6.81171 
29800	 0.0585204 	 4.35719 	 4.6888 
29900	 0.0624798 	 5.92439 	 6.24907 
