0	 0.653628 	 -1.#IND 	 -1.#IND 
100	 0.383311 	 29.1745 	 36.2686 
200	 0.271488 	 26.4909 	 30.2309 
300	 0.28219 	 21.7932 	 26.9958 
400	 0.262668 	 19.4134 	 21.8461 
500	 0.251501 	 18.7673 	 19.62 
600	 0.217608 	 13.7488 	 14.025 
700	 0.188974 	 14.8457 	 12.9255 
800	 0.224956 	 16.7055 	 20.3365 
900	 0.177995 	 12.1625 	 14.0307 
1000	 0.187735 	 14.2329 	 16.1732 
1100	 0.143985 	 16.0424 	 16.042 
1200	 0.173748 	 14.0793 	 14.3362 
1300	 0.174117 	 12.3466 	 15.2977 
1400	 0.186958 	 11.9713 	 11.5614 
1500	 0.17067 	 10.8785 	 11.2797 
1600	 0.159014 	 11.1781 	 12.7524 
1700	 0.143303 	 12.0229 	 12.3119 
1800	 0.15017 	 11.4089 	 11.4743 
1900	 0.124929 	 11.5204 	 13.7458 
2000	 0.130271 	 12.2004 	 12.2046 
2100	 0.149516 	 11.1945 	 13.2253 
2200	 0.161533 	 11.042 	 11.576 
2300	 0.17986 	 11.3973 	 12.1781 
2400	 0.131211 	 9.3936 	 10.8546 
2500	 0.137674 	 11.5896 	 11.5493 
2600	 0.156175 	 9.27247 	 9.61979 
2700	 0.150222 	 8.34728 	 8.17716 
2800	 0.14964 	 10.9039 	 12.2345 
2900	 0.118324 	 9.86947 	 11.2388 
3000	 0.131504 	 8.79595 	 9.26484 
3100	 0.119594 	 7.78105 	 7.57394 
3200	 0.115076 	 9.68562 	 7.8193 
3300	 0.109357 	 10.2566 	 10.8499 
3400	 0.101505 	 8.95245 	 10.1118 
3500	 0.100574 	 9.90216 	 10.9818 
3600	 0.124045 	 7.87793 	 6.60404 
3700	 0.119697 	 8.57288 	 9.24287 
3800	 0.174225 	 9.83279 	 11.7788 
3900	 0.111804 	 8.15999 	 8.87473 
4000	 0.147351 	 8.79622 	 9.96882 
4100	 0.13018 	 8.58421 	 8.77562 
4200	 0.123867 	 10.618 	 11.8762 
4300	 0.0975302 	 8.18829 	 8.39256 
4400	 0.122923 	 8.22651 	 8.54996 
4500	 0.115457 	 9.46523 	 10.4912 
4600	 0.126818 	 9.01562 	 10.8127 
4700	 0.100998 	 6.74139 	 7.88163 
4800	 0.162388 	 8.59607 	 8.46034 
4900	 0.100011 	 6.78753 	 7.17238 
5000	 0.115569 	 8.49692 	 8.24785 
5100	 0.122407 	 8.42029 	 9.35446 
5200	 0.134394 	 9.72048 	 11.7269 
5300	 0.152423 	 8.1791 	 8.11551 
5400	 0.109439 	 7.2514 	 7.30852 
5500	 0.107881 	 6.79543 	 6.34941 
5600	 0.0962013 	 6.40051 	 7.33764 
5700	 0.104302 	 7.00151 	 7.54394 
5800	 0.110603 	 7.05313 	 7.71699 
5900	 0.112677 	 6.02646 	 5.89542 
6000	 0.0931359 	 8.17667 	 7.87753 
6100	 0.123569 	 7.74356 	 8.31239 
6200	 0.115674 	 8.06743 	 8.36267 
6300	 0.124683 	 6.63131 	 7.3222 
6400	 0.10031 	 7.21869 	 7.63167 
6500	 0.109744 	 7.3117 	 9.31888 
6600	 0.100705 	 6.69512 	 7.88968 
6700	 0.118419 	 6.69248 	 7.29186 
6800	 0.130046 	 7.85034 	 7.83306 
6900	 0.0824636 	 6.78862 	 6.39261 
7000	 0.10358 	 7.8031 	 7.57116 
7100	 0.0913745 	 7.55725 	 8.27184 
7200	 0.0861921 	 6.71117 	 7.99403 
7300	 0.102064 	 6.27549 	 6.75797 
7400	 0.126686 	 7.13506 	 8.18085 
7500	 0.113192 	 6.67582 	 7.12508 
7600	 0.0855279 	 6.84779 	 8.70029 
7700	 0.0986529 	 5.71672 	 5.87811 
7800	 0.102978 	 6.80478 	 6.06639 
7900	 0.10699 	 7.11403 	 6.88905 
8000	 0.119955 	 6.60855 	 6.83546 
8100	 0.109449 	 6.49044 	 7.0437 
8200	 0.122258 	 7.84108 	 9.02263 
8300	 0.097173 	 6.51664 	 6.67045 
8400	 0.105441 	 6.92436 	 7.19403 
8500	 0.0842682 	 6.35112 	 6.93999 
8600	 0.111034 	 7.32549 	 7.26432 
8700	 0.0837842 	 7.26659 	 7.79838 
8800	 0.103164 	 5.62689 	 5.50285 
8900	 0.105805 	 5.81145 	 6.24552 
9000	 0.0723775 	 8.19132 	 8.67286 
9100	 0.105131 	 6.6419 	 6.68976 
9200	 0.0793147 	 7.14994 	 7.57921 
9300	 0.108841 	 7.6949 	 8.74288 
9400	 0.119444 	 6.64694 	 7.59682 
9500	 0.0968543 	 6.95243 	 7.43861 
9600	 0.0993562 	 5.4688 	 6.16233 
9700	 0.112263 	 6.91091 	 7.25247 
9800	 0.0906818 	 6.69998 	 7.24878 
9900	 0.100572 	 6.91151 	 8.08534 
10000	 0.101269 	 6.87203 	 7.44189 
10100	 0.138978 	 6.7638 	 7.43132 
10200	 0.0889514 	 7.81628 	 7.63756 
10300	 0.0945692 	 6.10522 	 6.8309 
10400	 0.0809531 	 6.19645 	 6.47318 
10500	 0.0717551 	 7.68994 	 9.3091 
10600	 0.0994638 	 6.64137 	 7.53208 
10700	 0.0968015 	 5.91317 	 7.07002 
10800	 0.0768816 	 6.41748 	 5.92239 
10900	 0.106947 	 5.81742 	 6.36998 
11000	 0.118582 	 5.57766 	 4.69578 
11100	 0.095343 	 6.59885 	 7.06581 
11200	 0.1064 	 7.03302 	 6.19554 
11300	 0.0948508 	 5.88983 	 7.17224 
11400	 0.0830885 	 7.52896 	 8.23495 
11500	 0.115598 	 6.87868 	 8.0672 
11600	 0.0911573 	 7.86682 	 8.0235 
11700	 0.0951071 	 6.64013 	 6.12699 
11800	 0.084619 	 7.31353 	 8.63615 
11900	 0.116475 	 6.26406 	 6.3023 
12000	 0.0985663 	 7.16598 	 7.10724 
12100	 0.116908 	 6.71406 	 8.16387 
12200	 0.0765058 	 6.57035 	 8.23446 
12300	 0.0888453 	 6.75277 	 6.6275 
12400	 0.104342 	 7.54814 	 8.58889 
12500	 0.0761681 	 5.91008 	 6.70448 
12600	 0.0841374 	 4.93181 	 5.00698 
12700	 0.107754 	 5.87537 	 6.03003 
12800	 0.0845078 	 7.0487 	 6.97474 
12900	 0.0947967 	 6.06582 	 7.02293 
13000	 0.0924831 	 5.93093 	 6.31963 
13100	 0.0827862 	 5.53861 	 5.73158 
13200	 0.112116 	 5.5113 	 6.69109 
13300	 0.103924 	 6.15183 	 6.22462 
13400	 0.0829743 	 6.95805 	 7.86636 
13500	 0.089288 	 6.57657 	 7.63833 
13600	 0.0722725 	 6.324 	 7.43866 
13700	 0.128586 	 6.74154 	 7.74173 
13800	 0.0932291 	 5.81913 	 6.36324 
13900	 0.0824583 	 5.33149 	 5.41627 
14000	 0.0659329 	 6.56236 	 7.51868 
14100	 0.0723103 	 5.24054 	 5.78932 
14200	 0.060774 	 6.58869 	 6.31922 
14300	 0.0718381 	 7.93497 	 8.908 
14400	 0.081535 	 6.22734 	 6.79078 
14500	 0.0849283 	 5.72634 	 6.1514 
14600	 0.0819739 	 6.03176 	 7.15675 
14700	 0.0961197 	 6.22476 	 6.78546 
14800	 0.084911 	 6.50623 	 7.14479 
14900	 0.115255 	 6.71223 	 7.25726 
15000	 0.094341 	 5.83692 	 6.42487 
15100	 0.0829424 	 5.95672 	 7.09815 
15200	 0.0816616 	 7.06476 	 7.57385 
15300	 0.0735806 	 6.64126 	 7.72388 
15400	 0.0842087 	 7.14306 	 8.47874 
15500	 0.0978442 	 5.3711 	 5.46604 
15600	 0.0789317 	 6.38681 	 6.73177 
15700	 0.0923111 	 6.12148 	 6.77298 
15800	 0.086713 	 6.48507 	 7.12301 
15900	 0.0821867 	 6.0693 	 6.75933 
16000	 0.0830653 	 6.13971 	 7.20705 
16100	 0.0931181 	 7.1796 	 7.85973 
16200	 0.105699 	 6.18949 	 6.4831 
16300	 0.0717566 	 7.2005 	 9.13165 
16400	 0.0704693 	 7.23582 	 7.17975 
16500	 0.0867598 	 8.31074 	 8.7682 
16600	 0.0690046 	 5.10593 	 6.02451 
16700	 0.0636598 	 5.05908 	 5.6969 
16800	 0.0787659 	 5.54332 	 5.6681 
16900	 0.0781407 	 5.66181 	 5.85737 
17000	 0.101117 	 6.33213 	 6.49856 
17100	 0.0587051 	 6.22559 	 6.83353 
17200	 0.093357 	 6.16551 	 7.00808 
17300	 0.0822407 	 5.60102 	 5.50561 
17400	 0.0833998 	 5.58939 	 6.32954 
17500	 0.0886326 	 5.68829 	 5.60129 
17600	 0.0805239 	 5.21873 	 5.24137 
17700	 0.083821 	 6.93291 	 7.96309 
17800	 0.0750901 	 6.39203 	 6.85075 
17900	 0.0720102 	 6.03448 	 6.71907 
18000	 0.0806188 	 6.82292 	 7.11736 
18100	 0.0684813 	 5.50216 	 5.95464 
18200	 0.0897131 	 6.67369 	 8.45005 
18300	 0.109437 	 6.12616 	 6.21941 
18400	 0.0991121 	 5.77475 	 5.71642 
18500	 0.0963284 	 6.37257 	 7.59359 
18600	 0.0842859 	 5.60801 	 6.40728 
18700	 0.114147 	 5.37223 	 4.99669 
18800	 0.0660311 	 4.51395 	 4.70856 
18900	 0.0843542 	 5.73769 	 6.24773 
19000	 0.0719108 	 6.77493 	 7.96044 
19100	 0.0865069 	 5.28426 	 5.96207 
19200	 0.0687478 	 6.68486 	 8.18771 
19300	 0.102281 	 4.9644 	 5.58861 
19400	 0.0896772 	 6.28608 	 6.42165 
19500	 0.0785261 	 5.3237 	 6.02413 
19600	 0.0725771 	 6.95322 	 7.0494 
19700	 0.0731058 	 4.94222 	 4.77549 
19800	 0.0602258 	 4.99355 	 5.24383 
19900	 0.0808283 	 6.69977 	 6.62512 
20000	 0.0734553 	 6.62815 	 7.29449 
20100	 0.114169 	 4.78072 	 5.17781 
20200	 0.0903468 	 5.32998 	 6.17041 
20300	 0.0707505 	 6.1284 	 6.68849 
20400	 0.0888785 	 5.70022 	 6.9809 
20500	 0.119822 	 6.70059 	 7.4998 
20600	 0.0600535 	 5.64019 	 6.41078 
20700	 0.0493503 	 6.22925 	 7.23981 
20800	 0.0715502 	 5.34249 	 6.17565 
20900	 0.0945545 	 6.20615 	 6.8335 
21000	 0.114872 	 5.69948 	 6.0634 
21100	 0.0658581 	 5.59805 	 6.02909 
21200	 0.0634903 	 5.69383 	 6.57983 
21300	 0.0693593 	 6.04547 	 6.93544 
21400	 0.0821391 	 5.36262 	 6.10221 
21500	 0.0750869 	 6.16842 	 6.03668 
21600	 0.0856241 	 5.83711 	 6.24009 
21700	 0.0800731 	 5.63195 	 6.38062 
21800	 0.0622633 	 5.10977 	 5.80972 
21900	 0.0581681 	 6.03524 	 6.95917 
22000	 0.0984436 	 5.66342 	 6.23059 
22100	 0.0577733 	 4.90228 	 5.80609 
22200	 0.0718775 	 6.20775 	 6.83202 
22300	 0.0723587 	 5.79536 	 6.3373 
22400	 0.0822404 	 6.31265 	 6.39905 
22500	 0.0883888 	 5.36957 	 5.79324 
22600	 0.0688581 	 6.11738 	 7.26657 
22700	 0.0705832 	 5.83619 	 7.01552 
22800	 0.0694426 	 5.1633 	 5.22781 
22900	 0.0848916 	 5.1013 	 5.14608 
23000	 0.0963304 	 5.76087 	 6.19528 
23100	 0.0796019 	 5.42533 	 5.96144 
23200	 0.0705711 	 5.12131 	 4.98047 
23300	 0.0808025 	 5.99353 	 6.04459 
23400	 0.0831555 	 5.52038 	 6.17956 
23500	 0.0911705 	 6.02244 	 6.60541 
23600	 0.0819353 	 4.75472 	 5.31087 
23700	 0.0561841 	 5.09792 	 5.95203 
23800	 0.0797792 	 5.88803 	 6.72459 
23900	 0.08753 	 5.10671 	 5.62594 
24000	 0.0738958 	 5.72527 	 6.51817 
24100	 0.102753 	 4.7794 	 5.7411 
24200	 0.0699091 	 5.75371 	 6.40007 
24300	 0.102887 	 5.12095 	 5.61568 
24400	 0.0468751 	 4.69459 	 5.24618 
24500	 0.0841805 	 5.41083 	 6.55662 
24600	 0.0909991 	 5.4453 	 5.50875 
24700	 0.0597253 	 5.42099 	 6.47002 
24800	 0.0686913 	 5.20655 	 7.14499 
24900	 0.0727585 	 4.86609 	 5.24504 
25000	 0.0702546 	 6.09646 	 5.86812 
25100	 0.0634714 	 5.02053 	 5.2971 
