0	 0.622122 	 -1.#IND 	 -1.#IND 
100	 0.336182 	 25.8748 	 34.2765 
200	 0.224502 	 23.0358 	 24.4606 
300	 0.242787 	 18.5968 	 20.8061 
400	 0.235957 	 20.4403 	 24.4692 
500	 0.228416 	 18.7187 	 20.939 
600	 0.186651 	 14.7679 	 15.9086 
700	 0.164195 	 15.2342 	 15.5631 
800	 0.195828 	 13.9641 	 16.7441 
900	 0.141945 	 12.2717 	 13.4637 
1000	 0.156028 	 15.7498 	 18.7326 
1100	 0.141088 	 13.062 	 12.9585 
1200	 0.158802 	 12.6999 	 12.6667 
1300	 0.146483 	 10.4264 	 10.1071 
1400	 0.153863 	 10.9122 	 12.2495 
1500	 0.12172 	 8.92363 	 9.13388 
1600	 0.131349 	 10.4052 	 10.8599 
1700	 0.128951 	 9.84986 	 8.45854 
1800	 0.129249 	 9.73618 	 9.53415 
1900	 0.106505 	 9.60551 	 9.97135 
2000	 0.110908 	 9.19406 	 9.42254 
2100	 0.118127 	 11.1016 	 13.398 
2200	 0.147187 	 8.95134 	 10.4094 
2300	 0.148613 	 11.2269 	 10.6518 
2400	 0.117617 	 8.91874 	 9.97593 
2500	 0.122999 	 9.22558 	 9.20355 
2600	 0.123438 	 8.08536 	 8.82668 
2700	 0.121541 	 7.64229 	 8.23362 
2800	 0.124 	 10.1324 	 10.046 
2900	 0.107649 	 8.7431 	 9.59505 
3000	 0.116131 	 9.18358 	 12.4187 
3100	 0.113507 	 8.4113 	 9.14578 
3200	 0.099381 	 8.88993 	 8.95141 
3300	 0.104822 	 9.15822 	 10.2968 
3400	 0.08067 	 7.56271 	 7.7329 
3500	 0.0871394 	 8.56908 	 9.81784 
3600	 0.104959 	 7.23455 	 7.24518 
3700	 0.103837 	 8.94492 	 11.1624 
3800	 0.134183 	 8.60657 	 10.8375 
3900	 0.0936078 	 6.85051 	 6.93806 
4000	 0.125016 	 7.83393 	 8.53395 
4100	 0.111603 	 8.64463 	 9.14633 
4200	 0.105291 	 8.33896 	 8.93003 
4300	 0.0774953 	 7.29342 	 7.78181 
4400	 0.0887422 	 8.10232 	 8.78955 
4500	 0.10355 	 8.40338 	 9.03128 
4600	 0.114317 	 8.01188 	 8.78307 
4700	 0.100692 	 6.41468 	 5.94781 
4800	 0.118837 	 6.49514 	 6.02646 
4900	 0.0856863 	 7.39035 	 8.091 
5000	 0.103068 	 7.45032 	 8.17552 
5100	 0.0968447 	 6.54582 	 7.66208 
5200	 0.121916 	 7.78896 	 8.75121 
5300	 0.108166 	 7.28926 	 7.97953 
5400	 0.101761 	 7.01353 	 6.60087 
5500	 0.0981283 	 6.38193 	 5.99525 
5600	 0.0813648 	 4.63659 	 5.73453 
5700	 0.0763011 	 7.00759 	 7.9189 
5800	 0.0958468 	 6.22379 	 6.30501 
5900	 0.0932879 	 6.46119 	 7.03223 
6000	 0.0713585 	 8.17542 	 9.7746 
6100	 0.121183 	 5.51522 	 6.24608 
6200	 0.100784 	 6.21747 	 7.62981 
6300	 0.0892232 	 5.81096 	 5.79187 
6400	 0.0912878 	 5.99415 	 6.15372 
6500	 0.0910147 	 6.68557 	 7.9208 
6600	 0.0811281 	 7.72803 	 10.011 
6700	 0.08345 	 6.06109 	 6.29269 
6800	 0.0973905 	 6.11263 	 5.98697 
6900	 0.0775611 	 6.6975 	 7.04771 
7000	 0.102561 	 6.59574 	 7.18905 
7100	 0.0699023 	 6.55895 	 6.81274 
7200	 0.075941 	 5.43763 	 5.32802 
7300	 0.0889759 	 5.71319 	 6.20711 
7400	 0.119239 	 6.68456 	 8.07332 
7500	 0.0776872 	 6.26896 	 7.43735 
7600	 0.0700656 	 5.56245 	 6.41294 
7700	 0.104258 	 5.17356 	 5.1719 
7800	 0.0709333 	 5.11685 	 4.91441 
7900	 0.0815424 	 6.1484 	 6.44625 
8000	 0.111656 	 6.31841 	 6.26961 
8100	 0.0848266 	 5.14873 	 5.74294 
8200	 0.0901429 	 7.4571 	 7.97321 
8300	 0.0795509 	 5.44236 	 5.59657 
8400	 0.0787571 	 6.1761 	 6.76021 
8500	 0.0662981 	 6.14924 	 7.25574 
8600	 0.0953597 	 5.24221 	 5.24414 
8700	 0.0625504 	 5.51439 	 6.06859 
8800	 0.0873512 	 5.33237 	 5.08973 
8900	 0.0821628 	 5.31124 	 5.65185 
9000	 0.0683954 	 6.10521 	 6.10984 
9100	 0.0828033 	 5.40794 	 5.99333 
9200	 0.0674973 	 5.38045 	 5.78661 
9300	 0.0783559 	 7.78423 	 8.06515 
9400	 0.101994 	 6.04265 	 6.28319 
9500	 0.0858201 	 5.80928 	 6.63898 
9600	 0.0865337 	 5.22412 	 6.11446 
9700	 0.078766 	 5.95281 	 6.7153 
9800	 0.0908095 	 5.40513 	 5.8053 
9900	 0.0905873 	 5.18215 	 6.0315 
10000	 0.0726988 	 5.61206 	 6.42549 
10100	 0.0908395 	 5.44758 	 6.25805 
10200	 0.0689036 	 6.02118 	 6.96559 
10300	 0.0714958 	 5.49627 	 5.63247 
10400	 0.0656819 	 5.52418 	 6.8876 
10500	 0.0645122 	 5.69511 	 5.90004 
10600	 0.0932769 	 6.30274 	 6.79848 
10700	 0.0655909 	 5.01847 	 5.46128 
10800	 0.0642234 	 5.938 	 6.37206 
10900	 0.0837238 	 5.15552 	 5.92826 
11000	 0.0915665 	 6.39021 	 7.55562 
11100	 0.0880115 	 6.19048 	 8.05037 
11200	 0.0589909 	 5.56628 	 5.9254 
11300	 0.0750263 	 5.01188 	 6.03664 
11400	 0.0735852 	 5.71088 	 6.93048 
11500	 0.100881 	 4.7342 	 5.81769 
11600	 0.0581762 	 6.19499 	 7.16015 
11700	 0.0824112 	 5.20322 	 5.89348 
11800	 0.0595225 	 5.19939 	 6.14048 
11900	 0.105573 	 5.67502 	 6.337 
12000	 0.0777436 	 5.94814 	 6.14736 
12100	 0.0823607 	 6.64066 	 7.91219 
12200	 0.063536 	 5.436 	 6.11751 
12300	 0.0648556 	 5.46168 	 5.5732 
12400	 0.0843449 	 4.60483 	 5.41691 
12500	 0.0539961 	 4.55335 	 5.15717 
12600	 0.0777138 	 4.09469 	 4.14017 
12700	 0.0800001 	 4.27838 	 4.54863 
12800	 0.0717512 	 6.38282 	 6.01035 
12900	 0.0794882 	 5.82827 	 6.59724 
13000	 0.0767015 	 5.12944 	 5.79767 
13100	 0.0744105 	 5.16734 	 5.46488 
13200	 0.0851647 	 5.09677 	 6.13161 
13300	 0.0710797 	 4.99662 	 5.65821 
13400	 0.0618051 	 5.35993 	 6.79943 
13500	 0.0750227 	 5.47117 	 5.73578 
13600	 0.0560955 	 4.84674 	 5.39872 
13700	 0.0840268 	 5.43448 	 5.1321 
13800	 0.0713387 	 5.17781 	 5.13971 
13900	 0.0578756 	 4.39246 	 4.844 
14000	 0.0454679 	 5.58297 	 6.63263 
14100	 0.0673303 	 4.89238 	 5.21183 
14200	 0.0553614 	 5.03179 	 5.78132 
14300	 0.0480507 	 5.45949 	 6.44062 
14400	 0.0580996 	 5.0146 	 6.11178 
14500	 0.0705287 	 5.17673 	 5.40745 
14600	 0.0487427 	 5.08364 	 5.99217 
14700	 0.0779711 	 6.34204 	 7.07313 
14800	 0.0538393 	 5.59996 	 6.63228 
14900	 0.0740791 	 5.36496 	 6.1692 
15000	 0.0832734 	 5.49331 	 6.08436 
15100	 0.0587742 	 6.73866 	 8.09632 
15200	 0.0594798 	 5.52598 	 6.41708 
15300	 0.0658837 	 4.57526 	 5.22692 
15400	 0.0471338 	 4.93183 	 4.68881 
15500	 0.0749065 	 4.58415 	 4.59487 
15600	 0.0642003 	 5.34292 	 6.10977 
15700	 0.0741711 	 5.37453 	 6.01924 
15800	 0.0667585 	 5.52686 	 5.26941 
15900	 0.0677465 	 4.51074 	 4.86543 
16000	 0.057141 	 5.95344 	 6.76845 
16100	 0.0664187 	 6.15354 	 7.316 
16200	 0.0718202 	 5.24512 	 5.79454 
16300	 0.0520793 	 5.6417 	 6.98461 
16400	 0.0525992 	 5.51243 	 6.10092 
16500	 0.062885 	 6.05567 	 5.94855 
16600	 0.0585994 	 5.12631 	 6.11189 
16700	 0.0343143 	 4.40323 	 5.33147 
