0	 0.631073 	 -1.#IND 	 -1.#IND 
100	 0.334761 	 26.578 	 33.8897 
200	 0.22766 	 21.3272 	 23.282 
300	 0.22658 	 20.0176 	 22.137 
400	 0.231501 	 19.2377 	 22.2464 
500	 0.225671 	 18.7164 	 16.5635 
600	 0.180067 	 16.9208 	 17.5473 
700	 0.14661 	 14.4827 	 15.1601 
800	 0.18038 	 12.495 	 14.2776 
900	 0.137433 	 12.5774 	 11.3247 
1000	 0.144171 	 14.7479 	 15.1546 
1100	 0.129491 	 13.8845 	 14.1676 
1200	 0.137762 	 11.5688 	 11.532 
1300	 0.14707 	 10.9228 	 12.1182 
1400	 0.140366 	 9.78193 	 10.8152 
1500	 0.116516 	 9.84352 	 8.77841 
1600	 0.132782 	 10.0412 	 10.3699 
1700	 0.119172 	 10.0168 	 10.2382 
1800	 0.119039 	 10.8883 	 11.5874 
1900	 0.0958278 	 9.63343 	 11.6115 
2000	 0.100553 	 9.05124 	 9.80819 
2100	 0.107338 	 9.77239 	 10.7136 
2200	 0.151351 	 10.1639 	 10.8995 
2300	 0.139843 	 11.0376 	 10.3032 
2400	 0.104786 	 8.86075 	 9.67624 
2500	 0.10669 	 9.06404 	 9.25474 
2600	 0.123522 	 7.78826 	 8.80582 
2700	 0.120834 	 7.9894 	 8.86303 
2800	 0.113833 	 9.19355 	 9.80991 
2900	 0.0935817 	 8.72817 	 8.80927 
3000	 0.116002 	 7.37604 	 9.32137 
3100	 0.0973637 	 7.42908 	 8.39583 
3200	 0.080445 	 9.2958 	 9.03862 
3300	 0.100349 	 8.46197 	 7.5999 
3400	 0.0801431 	 7.98901 	 8.95794 
3500	 0.0677902 	 8.56844 	 9.26256 
3600	 0.105158 	 7.6116 	 6.84357 
3700	 0.0912232 	 9.41687 	 8.97966 
3800	 0.135949 	 7.9365 	 10.1667 
3900	 0.0917917 	 7.91585 	 6.59198 
4000	 0.113482 	 9.66712 	 10.4376 
4100	 0.0921854 	 7.86837 	 8.84125 
4200	 0.0989652 	 7.11236 	 7.79902 
4300	 0.0783699 	 8.18766 	 7.79253 
4400	 0.092144 	 8.0363 	 8.6727 
4500	 0.101977 	 7.58697 	 7.841 
4600	 0.109411 	 7.85494 	 8.07521 
4700	 0.0844475 	 6.3838 	 6.66453 
4800	 0.124107 	 6.05769 	 6.30097 
4900	 0.0769459 	 5.74959 	 5.3838 
5000	 0.09945 	 7.47281 	 8.12034 
5100	 0.0840117 	 6.89109 	 7.51483 
5200	 0.117029 	 9.47222 	 11.099 
5300	 0.125594 	 6.53928 	 7.58123 
5400	 0.0950919 	 6.59581 	 7.79619 
5500	 0.0862413 	 6.5616 	 6.56618 
5600	 0.0769183 	 5.64411 	 6.37506 
5700	 0.0793958 	 6.6526 	 6.74161 
5800	 0.0895309 	 5.58963 	 6.17804 
5900	 0.0758052 	 6.7248 	 7.3956 
6000	 0.0551155 	 8.00743 	 9.09643 
6100	 0.116443 	 6.18367 	 7.1977 
6200	 0.0783021 	 5.83853 	 6.70054 
6300	 0.094792 	 6.57468 	 6.98383 
6400	 0.0943423 	 6.71704 	 6.57851 
6500	 0.0863916 	 5.95624 	 6.79081 
6600	 0.0846003 	 7.89024 	 10.4885 
6700	 0.0802906 	 6.0813 	 6.83429 
6800	 0.0918925 	 5.44426 	 5.41901 
6900	 0.0641678 	 6.59252 	 6.79481 
7000	 0.0812434 	 6.92518 	 7.59862 
7100	 0.0746669 	 6.37098 	 7.45434 
7200	 0.0689133 	 6.92282 	 8.216 
7300	 0.0896849 	 5.37128 	 6.24933 
7400	 0.122344 	 5.80386 	 6.15909 
7500	 0.0734107 	 6.16206 	 7.0495 
7600	 0.0626161 	 5.47372 	 7.0442 
7700	 0.0926567 	 4.80133 	 5.18125 
7800	 0.0774749 	 5.30824 	 5.70402 
7900	 0.0722511 	 6.27924 	 6.25698 
8000	 0.107253 	 5.29583 	 5.52349 
8100	 0.0930994 	 5.07838 	 5.86925 
8200	 0.0957031 	 6.47532 	 6.74072 
8300	 0.0790857 	 5.53826 	 5.34867 
8400	 0.0792793 	 5.67316 	 5.48474 
8500	 0.0597885 	 5.21892 	 5.44243 
8600	 0.0813674 	 4.73106 	 4.65657 
8700	 0.0550375 	 6.0803 	 6.46233 
8800	 0.0848955 	 5.51265 	 5.29791 
8900	 0.0736548 	 5.75999 	 7.07033 
9000	 0.0608042 	 5.18235 	 5.4096 
9100	 0.0762917 	 5.04102 	 5.59366 
9200	 0.0719229 	 5.0225 	 5.3173 
9300	 0.0746495 	 6.34263 	 6.90411 
9400	 0.097458 	 5.93397 	 6.10238 
9500	 0.0899835 	 6.48339 	 7.31105 
9600	 0.0761789 	 5.36055 	 6.39298 
9700	 0.073229 	 5.91342 	 6.77678 
9800	 0.0833015 	 5.57524 	 6.04757 
9900	 0.0801092 	 5.66733 	 7.03951 
10000	 0.0689498 	 5.23693 	 5.66226 
10100	 0.0907675 	 5.68866 	 5.18962 
10200	 0.0623207 	 5.61967 	 5.73376 
10300	 0.0597124 	 5.12119 	 5.93223 
10400	 0.0515507 	 5.43746 	 6.57868 
10500	 0.0661858 	 5.01431 	 5.13192 
10600	 0.0745877 	 5.56319 	 5.70818 
10700	 0.0534302 	 4.95982 	 5.7944 
10800	 0.0587143 	 5.79658 	 5.99088 
10900	 0.0695458 	 4.46402 	 5.17489 
11000	 0.0848875 	 5.29429 	 6.10351 
11100	 0.0801797 	 7.03377 	 8.61338 
11200	 0.0691326 	 5.33458 	 5.42738 
11300	 0.0759479 	 5.2072 	 6.5991 
11400	 0.0621709 	 6.34393 	 7.13192 
11500	 0.0933491 	 4.48944 	 4.9562 
11600	 0.0628771 	 5.67236 	 6.09217 
11700	 0.0701512 	 5.78328 	 6.72659 
11800	 0.0534838 	 4.75119 	 5.31151 
11900	 0.101271 	 5.19444 	 6.06811 
12000	 0.0760957 	 5.97166 	 7.14918 
12100	 0.0740287 	 5.30353 	 5.93615 
12200	 0.0611002 	 5.94217 	 6.7451 
12300	 0.0490238 	 5.21385 	 6.04431 
12400	 0.0817502 	 4.62192 	 5.33219 
12500	 0.0473076 	 5.13766 	 5.93581 
12600	 0.0773845 	 4.58024 	 4.96235 
12700	 0.0674246 	 5.05601 	 5.15639 
