0	 0.60638 	 -1.#IND 	 -1.#IND 
100	 0.331489 	 26.8828 	 34.8533 
200	 0.220715 	 19.5962 	 24.1517 
300	 0.235318 	 19.5509 	 23.7665 
400	 0.225726 	 21.2375 	 20.4466 
500	 0.217722 	 16.7456 	 16.1849 
600	 0.183779 	 15.1734 	 16.3445 
700	 0.152629 	 15.3153 	 14.3243 
800	 0.189931 	 15.3272 	 17.4296 
900	 0.150442 	 11.7475 	 13.019 
1000	 0.141512 	 12.5485 	 12.8726 
1100	 0.133323 	 14.0129 	 15.8922 
1200	 0.136163 	 12.9814 	 13.4555 
1300	 0.14938 	 11.7995 	 12.3339 
1400	 0.154011 	 9.19444 	 9.5877 
1500	 0.125208 	 10.6351 	 10.1546 
1600	 0.126823 	 10.3853 	 9.84557 
1700	 0.122558 	 11.2926 	 11.3894 
1800	 0.129255 	 12.5202 	 11.0032 
1900	 0.0939189 	 9.7788 	 12.2457 
2000	 0.0983596 	 8.01598 	 8.06097 
2100	 0.11463 	 10.8549 	 12.8268 
2200	 0.152785 	 11.449 	 10.7637 
2300	 0.146282 	 11.8268 	 9.5775 
2400	 0.11012 	 9.38251 	 7.62432 
2500	 0.111713 	 9.30795 	 8.09961 
2600	 0.131542 	 8.7533 	 9.31618 
2700	 0.132966 	 7.67397 	 8.87204 
2800	 0.121901 	 8.25653 	 8.64115 
2900	 0.098446 	 8.62261 	 8.58856 
3000	 0.115907 	 9.00905 	 10.8667 
3100	 0.10735 	 8.35087 	 9.1286 
3200	 0.0898181 	 7.65761 	 7.45541 
3300	 0.104169 	 9.08768 	 8.56823 
3400	 0.0914486 	 7.45083 	 8.67439 
3500	 0.0667299 	 9.35212 	 8.34201 
3600	 0.101943 	 7.36607 	 7.08916 
3700	 0.102804 	 8.94613 	 9.0363 
3800	 0.143223 	 8.21824 	 8.50055 
3900	 0.0954187 	 7.22804 	 8.05162 
4000	 0.129723 	 7.12783 	 8.23439 
4100	 0.105228 	 8.06003 	 8.29213 
4200	 0.107151 	 7.62816 	 8.41436 
4300	 0.0721554 	 7.31824 	 7.76075 
4400	 0.087469 	 8.22988 	 8.07427 
4500	 0.097784 	 7.45478 	 7.65003 
4600	 0.106398 	 8.41416 	 9.42734 
4700	 0.0837543 	 6.30615 	 5.42537 
4800	 0.142807 	 6.25483 	 6.51488 
4900	 0.0829507 	 6.93403 	 7.66324 
5000	 0.113082 	 8.34395 	 8.95242 
5100	 0.0884923 	 7.87667 	 9.0351 
5200	 0.113477 	 7.33378 	 8.3643 
5300	 0.113748 	 7.93799 	 7.23035 
5400	 0.0868184 	 6.34036 	 5.9432 
5500	 0.0945597 	 7.19903 	 7.01167 
5600	 0.0778194 	 5.78201 	 7.21567 
5700	 0.0816831 	 5.4664 	 5.60671 
5800	 0.0849571 	 5.244 	 5.14145 
5900	 0.0859519 	 6.21726 	 6.35661 
6000	 0.0605121 	 7.15525 	 7.67842 
6100	 0.115791 	 6.17061 	 7.74149 
6200	 0.0898007 	 6.74216 	 7.61833 
6300	 0.0848834 	 5.76001 	 5.81111 
6400	 0.0949699 	 6.95996 	 7.56429 
6500	 0.0795587 	 6.83793 	 6.55399 
6600	 0.0942964 	 6.13285 	 7.15684 
6700	 0.0867656 	 6.30876 	 5.82624 
6800	 0.0977463 	 6.63531 	 5.54985 
6900	 0.0669095 	 6.5085 	 6.4926 
7000	 0.0913534 	 7.57389 	 7.83271 
7100	 0.0720225 	 6.0717 	 6.40486 
7200	 0.0651494 	 6.69944 	 7.84607 
7300	 0.077103 	 6.21792 	 5.74889 
7400	 0.120535 	 5.84381 	 6.02841 
7500	 0.0694277 	 7.44789 	 8.73193 
7600	 0.0622401 	 5.53844 	 5.77936 
7700	 0.0863316 	 5.55189 	 5.63648 
7800	 0.0835645 	 5.36695 	 5.86623 
7900	 0.0813561 	 5.83382 	 6.07942 
8000	 0.0987636 	 7.34326 	 7.95933 
8100	 0.0887065 	 6.24293 	 6.68237 
8200	 0.10067 	 6.59921 	 6.36091 
8300	 0.0636127 	 5.00188 	 5.47219 
8400	 0.075132 	 6.28452 	 6.32118 
8500	 0.0765965 	 5.47815 	 6.24 
8600	 0.0836469 	 5.18203 	 4.43126 
8700	 0.0654341 	 7.05521 	 7.36032 
8800	 0.0916913 	 4.28037 	 4.68374 
8900	 0.0744648 	 5.46999 	 6.3283 
9000	 0.0498399 	 6.17453 	 6.06864 
9100	 0.0734796 	 5.41128 	 5.54066 
9200	 0.0749719 	 5.25275 	 5.1578 
9300	 0.0728743 	 6.17135 	 7.43039 
9400	 0.0925749 	 5.97525 	 6.09537 
9500	 0.0756509 	 5.79231 	 6.54137 
9600	 0.0812351 	 5.6557 	 5.35712 
9700	 0.0748471 	 5.95482 	 6.47879 
9800	 0.0789238 	 5.44369 	 6.32865 
9900	 0.0791164 	 5.06676 	 5.69337 
10000	 0.071053 	 5.88799 	 6.99292 
10100	 0.10013 	 5.71372 	 6.02401 
10200	 0.0704243 	 5.75 	 6.11498 
10300	 0.0712402 	 6.23173 	 7.32326 
10400	 0.0538701 	 5.22721 	 6.41265 
10500	 0.0594089 	 5.72436 	 5.73444 
10600	 0.0760244 	 6.29079 	 6.48561 
10700	 0.0527824 	 5.2588 	 5.95198 
10800	 0.0496227 	 5.78639 	 6.08781 
10900	 0.0683895 	 4.99509 	 5.97638 
11000	 0.105823 	 6.27899 	 6.71438 
11100	 0.0913462 	 6.16736 	 7.86948 
11200	 0.0642106 	 5.45451 	 5.66207 
11300	 0.0785835 	 5.33122 	 5.75857 
11400	 0.064489 	 5.68981 	 5.74976 
11500	 0.0927626 	 5.50448 	 6.76521 
11600	 0.0616969 	 5.3786 	 4.94744 
11700	 0.0746921 	 5.34405 	 5.86366 
11800	 0.0513202 	 5.76582 	 6.2122 
11900	 0.1026 	 5.38319 	 5.85238 
12000	 0.0644323 	 6.03475 	 6.89151 
12100	 0.0758824 	 6.28434 	 7.39574 
12200	 0.055248 	 4.90226 	 4.80931 
12300	 0.066462 	 5.08362 	 5.73956 
12400	 0.0850265 	 5.54195 	 6.65808 
12500	 0.0448137 	 4.89012 	 5.68441 
12600	 0.0750339 	 4.54369 	 5.2488 
12700	 0.0695561 	 4.64465 	 5.35562 
12800	 0.0730215 	 5.70104 	 6.22697 
12900	 0.0664052 	 5.58191 	 5.38702 
13000	 0.064626 	 5.58407 	 6.40235 
13100	 0.0759696 	 4.35056 	 3.96722 
13200	 0.0924555 	 5.6703 	 6.58385 
13300	 0.0766027 	 5.00076 	 6.11563 
13400	 0.0611956 	 5.02387 	 6.2475 
13500	 0.0786046 	 4.90401 	 5.42677 
13600	 0.0653066 	 4.84291 	 5.12144 
13700	 0.089689 	 5.49124 	 6.32758 
13800	 0.0665081 	 4.51006 	 5.01894 
13900	 0.0635501 	 5.00782 	 5.68476 
14000	 0.0496442 	 5.17199 	 6.00493 
14100	 0.0549403 	 4.92577 	 5.21982 
14200	 0.0453972 	 5.48374 	 6.51314 
14300	 0.0539846 	 6.28556 	 7.70195 
14400	 0.054974 	 5.29219 	 5.1749 
14500	 0.0793847 	 5.18473 	 5.00389 
14600	 0.0504451 	 4.6673 	 5.19707 
14700	 0.0713751 	 6.07192 	 6.36072 
14800	 0.059808 	 5.85523 	 6.89126 
14900	 0.0679074 	 5.88906 	 6.62105 
15000	 0.0697566 	 5.48953 	 6.35397 
15100	 0.046257 	 4.77964 	 4.31422 
15200	 0.0593012 	 4.68055 	 4.32927 
15300	 0.0523126 	 4.52066 	 5.09484 
15400	 0.0606975 	 5.31353 	 5.55189 
15500	 0.0794198 	 5.5711 	 6.41927 
15600	 0.0653129 	 6.21478 	 6.32384 
15700	 0.0804718 	 5.91825 	 6.46461 
15800	 0.0700531 	 5.07011 	 5.5333 
15900	 0.0578864 	 5.67275 	 6.22858 
16000	 0.0596875 	 5.54523 	 6.1372 
16100	 0.0614059 	 4.91498 	 5.71052 
16200	 0.071141 	 5.66159 	 6.25645 
16300	 0.0438142 	 5.49027 	 6.2782 
16400	 0.0446978 	 5.92561 	 6.52407 
16500	 0.0531361 	 6.46933 	 6.54344 
16600	 0.0546255 	 4.78634 	 5.31354 
16700	 0.0447077 	 4.94363 	 5.20367 
16800	 0.0561815 	 5.68152 	 5.66947 
16900	 0.0623843 	 5.53746 	 5.78348 
17000	 0.0679429 	 4.65411 	 4.97559 
17100	 0.0403383 	 4.60512 	 4.9071 
17200	 0.0619321 	 5.18591 	 5.68778 
17300	 0.0704293 	 4.60544 	 5.10803 
17400	 0.0714186 	 4.0561 	 3.87557 
17500	 0.0700579 	 5.25331 	 5.28928 
17600	 0.063605 	 4.66766 	 5.18478 
17700	 0.0603156 	 5.50042 	 5.96524 
17800	 0.0614087 	 5.60885 	 5.97841 
17900	 0.0552231 	 5.6007 	 5.44668 
18000	 0.0588213 	 5.23487 	 4.85281 
18100	 0.0499413 	 4.77291 	 5.60661 
18200	 0.0506085 	 4.42525 	 4.70729 
18300	 0.0781874 	 5.09541 	 6.24418 
18400	 0.0694841 	 6.00721 	 6.4988 
18500	 0.0685513 	 5.59357 	 6.49422 
18600	 0.0341028 	 4.40721 	 4.93161 
18700	 0.0733429 	 4.38789 	 4.29597 
18800	 0.0433413 	 4.61268 	 5.27235 
18900	 0.0670983 	 4.57603 	 4.62124 
19000	 0.0522234 	 4.21464 	 4.78819 
19100	 0.0540629 	 4.45744 	 3.8705 
19200	 0.0537976 	 5.21768 	 5.67779 
19300	 0.0723611 	 4.61654 	 4.25807 
19400	 0.0618867 	 4.51347 	 5.52637 
19500	 0.0499335 	 4.03215 	 3.87381 
19600	 0.059686 	 5.78249 	 5.64968 
19700	 0.0647733 	 4.82924 	 4.71139 
19800	 0.0517042 	 4.46764 	 4.79131 
19900	 0.062366 	 5.72068 	 5.62923 
20000	 0.0524886 	 4.77535 	 4.91905 
20100	 0.0834259 	 3.97191 	 4.07822 
20200	 0.0519865 	 4.08373 	 4.64348 
20300	 0.0549113 	 4.23575 	 4.99722 
20400	 0.0765583 	 4.81893 	 5.49733 
20500	 0.082098 	 5.5502 	 5.48927 
20600	 0.0482597 	 4.91628 	 5.71092 
20700	 0.0392467 	 4.35573 	 4.9639 
20800	 0.0563755 	 4.61317 	 4.85085 
20900	 0.0734884 	 5.09078 	 6.43659 
21000	 0.0782096 	 4.247 	 4.31169 
21100	 0.0465772 	 4.18687 	 4.7702 
21200	 0.0534277 	 5.98271 	 6.99101 
21300	 0.0364275 	 4.78627 	 5.42149 
21400	 0.0622625 	 4.68335 	 5.27171 
21500	 0.0626032 	 4.94193 	 6.17772 
21600	 0.0402658 	 4.07121 	 4.51316 
21700	 0.0570603 	 5.06737 	 6.4249 
21800	 0.0406227 	 4.57012 	 5.37352 
21900	 0.0423273 	 5.02095 	 5.35444 
22000	 0.0735821 	 4.53586 	 4.7138 
22100	 0.0470547 	 4.79388 	 5.11361 
22200	 0.048978 	 4.94983 	 5.23207 
22300	 0.0512719 	 5.36382 	 6.17624 
22400	 0.0513628 	 5.12942 	 5.30355 
22500	 0.0536673 	 4.89081 	 5.5791 
22600	 0.0416105 	 5.78333 	 7.40741 
22700	 0.0444697 	 5.27982 	 6.7005 
22800	 0.0476602 	 4.85103 	 4.467 
22900	 0.0663055 	 4.81309 	 4.78249 
