0	 0.61391 	 -1.#IND 	 -1.#IND 
100	 0.397679 	 29.7268 	 34.4305 
200	 0.28506 	 22.0034 	 17.9182 
300	 0.274974 	 15.8607 	 20.7647 
400	 0.270469 	 14.3287 	 13.5491 
500	 0.25316 	 19.4414 	 16.995 
600	 0.219347 	 14.2086 	 15.0229 
700	 0.17529 	 13.0742 	 11.7912 
800	 0.223251 	 17.1159 	 18.8444 
900	 0.171089 	 13.0557 	 14.157 
1000	 0.178222 	 15.3212 	 14.765 
1100	 0.152718 	 15.9803 	 15.8943 
1200	 0.181106 	 14.4428 	 14.8262 
1300	 0.170344 	 12.3254 	 13.3547 
1400	 0.17472 	 10.8412 	 10.2804 
1500	 0.152603 	 10.916 	 11.0839 
1600	 0.153469 	 12.0002 	 14.3688 
1700	 0.142186 	 11.1296 	 10.452 
1800	 0.152691 	 10.5162 	 11.3622 
1900	 0.122256 	 10.8145 	 10.5384 
2000	 0.133016 	 9.91872 	 10.5615 
2100	 0.152649 	 10.8369 	 12.2005 
2200	 0.17085 	 10.2991 	 11.24 
2300	 0.173729 	 10.8219 	 9.60525 
2400	 0.116893 	 9.99844 	 9.45209 
2500	 0.132368 	 9.16662 	 9.28528 
2600	 0.149525 	 8.72101 	 9.18765 
2700	 0.145337 	 9.51197 	 9.93226 
2800	 0.147426 	 9.33049 	 8.58363 
2900	 0.12163 	 8.56494 	 10.0709 
3000	 0.135812 	 8.96859 	 9.70655 
3100	 0.128692 	 8.82944 	 9.58803 
3200	 0.108829 	 9.34807 	 9.50298 
3300	 0.112446 	 9.86511 	 10.0937 
3400	 0.113023 	 8.98319 	 9.87093 
3500	 0.0971721 	 11.4162 	 10.8188 
3600	 0.11722 	 9.21392 	 7.97058 
3700	 0.122866 	 9.77166 	 10.7078 
3800	 0.169159 	 9.7734 	 11.7811 
3900	 0.112481 	 7.89483 	 8.0951 
4000	 0.142255 	 8.62582 	 9.04533 
4100	 0.130877 	 7.96533 	 7.94213 
4200	 0.1343 	 7.67973 	 7.30799 
4300	 0.103574 	 8.365 	 8.55782 
4400	 0.117416 	 8.33446 	 8.49709 
4500	 0.129302 	 9.42152 	 9.91537 
4600	 0.120637 	 8.95533 	 10.7597 
4700	 0.105694 	 7.23988 	 7.55013 
4800	 0.156965 	 7.02658 	 7.20254 
4900	 0.110618 	 6.91834 	 7.21661 
5000	 0.125591 	 7.78323 	 7.68414 
5100	 0.126724 	 9.30037 	 11.027 
5200	 0.14167 	 9.12715 	 9.37743 
5300	 0.134979 	 8.09736 	 8.98679 
5400	 0.11184 	 7.86082 	 8.22927 
5500	 0.124382 	 7.57244 	 7.05568 
5600	 0.0958602 	 5.72206 	 6.74346 
5700	 0.092752 	 6.78612 	 7.02762 
5800	 0.104562 	 7.46362 	 7.51856 
5900	 0.106623 	 7.2752 	 7.12597 
6000	 0.0882936 	 9.4459 	 9.6003 
6100	 0.123215 	 7.3229 	 7.99688 
6200	 0.114302 	 7.85238 	 8.9114 
6300	 0.126755 	 5.79691 	 6.16707 
6400	 0.104793 	 7.95345 	 7.35204 
6500	 0.113654 	 7.49867 	 8.95598 
6600	 0.111232 	 7.20276 	 8.35183 
6700	 0.108619 	 7.1129 	 7.31003 
6800	 0.124021 	 7.47587 	 7.01553 
6900	 0.0767655 	 6.91885 	 6.98951 
7000	 0.110521 	 7.60091 	 8.01208 
7100	 0.0977451 	 7.55006 	 8.76764 
7200	 0.0952158 	 7.22173 	 8.53571 
7300	 0.107444 	 6.28369 	 6.88319 
7400	 0.150573 	 7.68141 	 8.87109 
7500	 0.109229 	 6.85046 	 7.72711 
7600	 0.0805219 	 6.09804 	 7.25183 
7700	 0.116829 	 5.77575 	 6.22829 
7800	 0.0995733 	 6.76455 	 6.40068 
7900	 0.106697 	 7.08363 	 7.41872 
8000	 0.130412 	 7.60484 	 8.01485 
8100	 0.117062 	 7.52137 	 8.57189 
8200	 0.123995 	 7.92777 	 8.24525 
8300	 0.0864123 	 6.5828 	 6.06122 
8400	 0.0982398 	 6.97889 	 7.86348 
8500	 0.0917601 	 7.10998 	 7.0274 
8600	 0.122561 	 6.3963 	 6.71023 
8700	 0.0929664 	 6.42783 	 6.92473 
8800	 0.0995881 	 5.26483 	 4.91897 
8900	 0.094237 	 6.03528 	 7.17297 
9000	 0.078284 	 6.21608 	 6.08696 
9100	 0.103211 	 5.90062 	 6.09536 
9200	 0.0826787 	 5.84318 	 6.50223 
9300	 0.0983206 	 7.84458 	 8.26735 
9400	 0.124737 	 6.47509 	 6.83658 
9500	 0.0999956 	 6.75008 	 7.20115 
9600	 0.114078 	 6.1658 	 7.00203 
9700	 0.100169 	 6.03962 	 6.21906 
9800	 0.100296 	 5.86399 	 6.68314 
9900	 0.108489 	 7.90984 	 8.53311 
10000	 0.0849727 	 5.90281 	 6.41187 
10100	 0.136162 	 6.20464 	 5.91201 
10200	 0.0897302 	 6.39096 	 7.16662 
10300	 0.0992271 	 6.17307 	 6.73589 
10400	 0.0769264 	 5.62517 	 6.66725 
10500	 0.0794623 	 6.4644 	 6.85375 
10600	 0.0919274 	 7.60075 	 8.39709 
10700	 0.0772469 	 5.63706 	 5.98486 
10800	 0.0749377 	 5.88923 	 6.1043 
10900	 0.103319 	 5.97499 	 6.72082 
11000	 0.118793 	 5.76103 	 5.96949 
11100	 0.108747 	 6.02698 	 7.20001 
11200	 0.0938226 	 7.37552 	 8.15802 
11300	 0.090746 	 6.28394 	 6.40403 
11400	 0.0988667 	 6.2059 	 6.70955 
11500	 0.104917 	 5.34048 	 6.04835 
11600	 0.0806638 	 6.98512 	 7.25981 
11700	 0.0877056 	 6.41246 	 6.50785 
11800	 0.0826234 	 6.3044 	 6.42124 
11900	 0.127977 	 5.61495 	 5.67361 
12000	 0.0947426 	 5.88063 	 6.11905 
12100	 0.11101 	 6.90723 	 7.67807 
12200	 0.0741354 	 5.63992 	 6.52179 
12300	 0.0811864 	 6.52677 	 6.3812 
12400	 0.108527 	 6.65645 	 6.50531 
12500	 0.0673559 	 5.96722 	 7.17381 
12600	 0.0890361 	 4.831 	 5.39537 
12700	 0.10215 	 4.98761 	 5.735 
12800	 0.0917531 	 5.70769 	 5.43299 
12900	 0.0856599 	 6.08291 	 6.26839 
13000	 0.0881926 	 5.42764 	 5.50885 
13100	 0.0868557 	 4.98167 	 4.79769 
13200	 0.112928 	 5.29838 	 6.37086 
13300	 0.104819 	 5.1799 	 6.00409 
13400	 0.0891586 	 5.84223 	 5.88195 
13500	 0.0924528 	 5.80375 	 6.27236 
13600	 0.08002 	 6.56704 	 6.67721 
13700	 0.112869 	 5.95176 	 6.13466 
13800	 0.099824 	 5.47143 	 5.90988 
13900	 0.0824993 	 4.89273 	 4.42258 
14000	 0.0619928 	 5.92816 	 6.24928 
14100	 0.0705768 	 4.9991 	 5.00708 
14200	 0.0694686 	 6.60331 	 6.59959 
14300	 0.0720913 	 6.23148 	 7.39011 
14400	 0.080342 	 6.0665 	 6.82242 
14500	 0.0879101 	 5.4493 	 5.98002 
14600	 0.0721958 	 5.31078 	 5.82374 
14700	 0.10685 	 6.85117 	 6.70241 
14800	 0.0880271 	 5.83209 	 6.15864 
14900	 0.114145 	 6.1999 	 6.8432 
15000	 0.0876175 	 5.31413 	 6.0306 
15100	 0.0760457 	 6.35368 	 6.65641 
15200	 0.0837796 	 5.57192 	 6.07569 
15300	 0.0783521 	 5.72418 	 6.20144 
15400	 0.0785666 	 6.44865 	 6.93256 
15500	 0.106008 	 5.5092 	 5.84517 
15600	 0.0796117 	 5.38074 	 5.44531 
15700	 0.117862 	 5.89727 	 6.7449 
15800	 0.0965097 	 5.74551 	 6.88635 
15900	 0.082027 	 5.27202 	 6.08196 
16000	 0.0803134 	 6.02254 	 6.6667 
16100	 0.0884906 	 6.49825 	 6.80431 
16200	 0.103501 	 5.96593 	 7.83057 
16300	 0.066819 	 6.18922 	 7.20823 
16400	 0.0698405 	 6.57369 	 7.17773 
16500	 0.0781103 	 7.84902 	 8.76896 
16600	 0.0707372 	 4.27271 	 5.06587 
16700	 0.0665214 	 5.38605 	 5.74626 
16800	 0.08763 	 5.50725 	 5.97354 
16900	 0.0793385 	 5.8611 	 6.48649 
17000	 0.0872094 	 5.24216 	 5.6657 
17100	 0.0681243 	 4.98362 	 5.36796 
17200	 0.0955598 	 6.15843 	 6.50518 
17300	 0.0780227 	 5.19326 	 6.11606 
17400	 0.0969026 	 5.18799 	 4.58279 
17500	 0.106881 	 5.77202 	 6.75826 
17600	 0.0838601 	 5.30022 	 5.73419 
17700	 0.0787698 	 5.90163 	 6.9484 
17800	 0.0746247 	 5.79055 	 5.81448 
17900	 0.0649709 	 5.01377 	 5.91316 
18000	 0.092097 	 5.9487 	 6.16378 
18100	 0.0698307 	 5.68021 	 6.05482 
18200	 0.0740083 	 5.49199 	 6.2889 
18300	 0.0978919 	 5.70805 	 5.88365 
18400	 0.10114 	 5.09616 	 5.1281 
18500	 0.0934146 	 5.44317 	 6.21278 
18600	 0.0623204 	 5.10006 	 6.62083 
18700	 0.10358 	 4.96749 	 5.75172 
18800	 0.0834198 	 5.02692 	 5.17836 
18900	 0.0857344 	 5.3219 	 6.02918 
19000	 0.0611032 	 5.95348 	 6.86139 
19100	 0.0920454 	 5.30196 	 5.7599 
19200	 0.0702801 	 7.24549 	 8.6877 
19300	 0.107591 	 5.27617 	 5.34646 
19400	 0.0929647 	 5.70692 	 6.59775 
19500	 0.075796 	 4.66732 	 4.72272 
19600	 0.0818169 	 5.80755 	 6.44622 
19700	 0.0717539 	 5.60818 	 6.02259 
19800	 0.0611975 	 4.74818 	 4.90956 
19900	 0.0846944 	 5.18509 	 4.54403 
20000	 0.0596555 	 4.9749 	 5.75918 
20100	 0.125482 	 4.80167 	 5.13967 
20200	 0.0910685 	 5.37504 	 5.79765 
20300	 0.0685777 	 5.71793 	 6.23934 
20400	 0.092047 	 5.48343 	 7.07582 
20500	 0.111973 	 6.20478 	 5.75683 
20600	 0.0689189 	 6.4629 	 6.71687 
20700	 0.055601 	 4.7347 	 6.06845 
20800	 0.0782635 	 5.00719 	 5.08929 
20900	 0.0871385 	 4.81189 	 5.52854 
21000	 0.0985806 	 4.81079 	 4.76137 
21100	 0.0666121 	 5.46736 	 5.72544 
21200	 0.0567578 	 6.60284 	 7.32899 
21300	 0.0605889 	 5.47653 	 5.82832 
21400	 0.0849853 	 5.34814 	 6.04655 
21500	 0.0820452 	 5.48327 	 6.91837 
21600	 0.0705229 	 5.3146 	 5.73141 
21700	 0.0822325 	 5.89926 	 6.82703 
21800	 0.0728371 	 4.88794 	 5.15199 
21900	 0.059985 	 4.90625 	 5.37132 
22000	 0.0998223 	 3.90658 	 4.0344 
22100	 0.0589334 	 4.83894 	 5.4493 
22200	 0.0708311 	 5.96361 	 6.53991 
22300	 0.0673224 	 5.56338 	 6.41966 
22400	 0.0718876 	 5.12254 	 5.04029 
22500	 0.0781347 	 5.36165 	 5.94903 
22600	 0.0723781 	 5.79625 	 6.25037 
22700	 0.0661397 	 5.09172 	 6.02206 
