0	 0.634697 	 -1.#IND 	 -1.#IND 
100	 0.328148 	 26.0938 	 27.9662 
200	 0.224273 	 18.2715 	 18.5266 
300	 0.230937 	 19.1059 	 20.6754 
400	 0.233207 	 20.0885 	 23.0268 
500	 0.217641 	 15.8972 	 17.5945 
600	 0.17218 	 13.5887 	 15.6457 
700	 0.150634 	 14.5996 	 13.9634 
800	 0.190399 	 13.5251 	 15.4048 
900	 0.143914 	 12.2375 	 13.4425 
1000	 0.144886 	 14.0893 	 15.2693 
1100	 0.133715 	 13.9506 	 16.293 
1200	 0.14617 	 10.7404 	 9.6073 
1300	 0.155565 	 10.7302 	 11.834 
1400	 0.154007 	 10.9067 	 11.8494 
1500	 0.124951 	 9.51909 	 10.7444 
1600	 0.133281 	 8.23988 	 9.89212 
1700	 0.122093 	 11.2465 	 12.3553 
1800	 0.125167 	 9.792 	 9.61392 
1900	 0.110057 	 9.46732 	 11.1503 
2000	 0.107036 	 8.5987 	 8.8707 
2100	 0.125802 	 9.97783 	 11.7771 
2200	 0.144616 	 8.74892 	 9.13615 
2300	 0.157825 	 8.38451 	 8.58363 
2400	 0.106122 	 9.13491 	 9.17377 
2500	 0.114023 	 10.1073 	 10.8788 
2600	 0.133382 	 9.04134 	 9.87664 
2700	 0.122524 	 8.54273 	 8.58211 
2800	 0.123342 	 9.83866 	 11.0045 
2900	 0.10897 	 9.13922 	 9.21437 
3000	 0.115312 	 8.45145 	 10.2045 
3100	 0.117551 	 8.03863 	 7.42069 
3200	 0.093644 	 8.45711 	 8.77196 
3300	 0.0962449 	 9.18754 	 8.22608 
3400	 0.0927891 	 8.60286 	 9.90748 
3500	 0.0807098 	 8.62794 	 9.14955 
3600	 0.115956 	 8.4649 	 8.51657 
3700	 0.101452 	 8.18086 	 9.54713 
3800	 0.127835 	 8.27675 	 9.91869 
3900	 0.0903391 	 7.27264 	 7.05411 
4000	 0.122374 	 8.17714 	 8.65133 
4100	 0.100725 	 9.36508 	 11.165 
4200	 0.109528 	 7.42667 	 7.75934 
