0	 0.616803 	 -1.#IND 	 -1.#IND 
100	 0.407606 	 36.5123 	 42.6081 
200	 0.282904 	 29.3301 	 38.1872 
300	 0.284482 	 20.0363 	 21.666 
400	 0.27235 	 20.8107 	 21.6481 
500	 0.262742 	 21.8333 	 21.1779 
600	 0.225834 	 15.4436 	 17.7165 
700	 0.201994 	 17.8656 	 16.869 
800	 0.233307 	 15.7228 	 16.8182 
900	 0.190851 	 13.2412 	 13.2443 
1000	 0.189654 	 16.3876 	 15.8239 
1100	 0.156779 	 14.544 	 15.0173 
1200	 0.19031 	 12.1001 	 11.0917 
1300	 0.179128 	 10.8305 	 12.0799 
1400	 0.192761 	 12.518 	 13.1002 
1500	 0.162045 	 11.3857 	 11.4995 
1600	 0.176898 	 11.3257 	 11.1033 
1700	 0.167807 	 11.6092 	 12.1431 
1800	 0.167962 	 11.6653 	 9.18965 
1900	 0.137256 	 11.8686 	 12.6055 
2000	 0.145408 	 12.8714 	 14.1263 
2100	 0.151372 	 10.977 	 12.6348 
2200	 0.177142 	 11.433 	 11.5294 
2300	 0.177578 	 11.8787 	 12.1398 
2400	 0.136083 	 8.44779 	 8.72806 
2500	 0.158381 	 10.6256 	 10.9435 
2600	 0.166185 	 10.3026 	 11.1403 
2700	 0.157963 	 8.72039 	 8.58237 
2800	 0.175692 	 9.70627 	 10.0944 
2900	 0.141797 	 8.17298 	 8.6526 
3000	 0.15036 	 10.4 	 12.7117 
3100	 0.149359 	 9.68612 	 11.074 
3200	 0.116165 	 9.81074 	 10.4463 
3300	 0.132035 	 10.3238 	 10.5033 
3400	 0.134733 	 10.3895 	 11.8175 
3500	 0.104124 	 9.46689 	 9.95349 
3600	 0.145015 	 9.10744 	 9.28306 
3700	 0.146212 	 9.5165 	 10.3933 
3800	 0.189539 	 7.68695 	 9.03577 
3900	 0.118662 	 8.3301 	 7.96731 
4000	 0.166393 	 11.1504 	 12.1743 
4100	 0.156614 	 10.15 	 11.3227 
4200	 0.145016 	 7.36683 	 8.01082 
4300	 0.116339 	 8.70414 	 7.54826 
4400	 0.126404 	 9.39917 	 9.43167 
4500	 0.15311 	 9.9769 	 11.7488 
4600	 0.167515 	 9.54482 	 8.36284 
4700	 0.122327 	 8.94251 	 9.34828 
4800	 0.161183 	 7.89092 	 7.29142 
4900	 0.121762 	 8.74427 	 9.99833 
5000	 0.138494 	 10.1908 	 11.3132 
5100	 0.149216 	 9.74319 	 11.5046 
5200	 0.166953 	 9.85535 	 10.104 
5300	 0.148722 	 7.54522 	 8.00472 
5400	 0.114783 	 9.359 	 8.4928 
5500	 0.127041 	 8.39732 	 8.54377 
5600	 0.0955081 	 6.49544 	 8.12632 
5700	 0.111636 	 7.44076 	 8.74121 
5800	 0.122689 	 7.47396 	 8.20357 
5900	 0.109486 	 8.20986 	 9.01581 
6000	 0.103548 	 7.84372 	 7.02887 
6100	 0.125799 	 8.99546 	 10.5045 
6200	 0.13027 	 8.30177 	 10.0511 
6300	 0.146338 	 7.64264 	 8.60573 
6400	 0.104982 	 7.14348 	 7.74677 
6500	 0.128112 	 9.00163 	 11.2688 
6600	 0.130662 	 7.80766 	 9.48599 
6700	 0.115834 	 9.68038 	 10.0453 
6800	 0.149447 	 9.37747 	 9.14062 
6900	 0.105861 	 8.5761 	 10.9229 
7000	 0.126904 	 8.26167 	 9.75058 
7100	 0.110473 	 8.99891 	 10.3968 
7200	 0.10174 	 9.16715 	 11.3838 
7300	 0.123365 	 7.19035 	 8.41517 
7400	 0.145287 	 7.92021 	 8.75854 
7500	 0.131619 	 8.31105 	 9.82175 
7600	 0.109299 	 7.37111 	 8.51571 
7700	 0.136475 	 6.839 	 7.53374 
7800	 0.128599 	 8.34581 	 8.83994 
7900	 0.122024 	 7.94996 	 9.48885 
8000	 0.126098 	 7.21318 	 8.58596 
8100	 0.136623 	 6.38241 	 6.73536 
8200	 0.125232 	 7.25325 	 7.55855 
8300	 0.105466 	 6.39264 	 6.45677 
